period,urban_rural,crashes,fatalities,years,crashes_per_year,fatal_per_1000
2012–2014,RURAL,8916,415,3,2972,46.54553611484971
2012–2014,UNKNOWN,6764,90,3,2254.6666666666665,13.305736250739207
2012–2014,URBAN,27403,278,3,9134.333333333334,10.144874648761084
2015–2017,RURAL,9956,447,3,3318.6666666666665,44.89754921655283
2015–2017,UNKNOWN,7352,79,3,2450.6666666666665,10.745375408052231
2015–2017,URBAN,28234,286,3,9411.333333333334,10.129630941418148
2018–2020,RURAL,8703,360,3,2901,41.36504653567735
2018–2020,UNKNOWN,6504,103,3,2168,15.83640836408364
2018–2020,URBAN,24733,233,3,8244.333333333334,9.420612137629886
2021–2023,RURAL,9776,428,3,3258.6666666666665,43.780687397708675
2021–2023,UNKNOWN,8143,88,3,2714.3333333333335,10.806827950386836
2021–2023,URBAN,27376,264,3,9125.333333333334,9.643483343074225
2024–2025,RURAL,2440,105,2,1220,43.032786885245905
2024–2025,UNKNOWN,1756,26,2,878,14.806378132118452
2024–2025,URBAN,6857,83,2,3428.5,12.104418842059209
