period,urban_rural,geom_group,crashes,share
2012–2014,RURAL,Cross intersection,856,0.09600717810677434
2012–2014,RURAL,Not at intersection,6651,0.7459623149394348
2012–2014,RURAL,Other/Unknown,143,0.01603858232391207
2012–2014,RURAL,T intersection,1266,0.14199192462987886
2012–2014,URBAN,Cross intersection,7225,0.26365726380323323
2012–2014,URBAN,Not at intersection,10970,0.4003211327226946
2012–2014,URBAN,Other/Unknown,835,0.03047111630113491
2012–2014,URBAN,T intersection,8373,0.30555048717293726
2015–2017,RURAL,Cross intersection,869,0.0872840498192045
2015–2017,RURAL,Not at intersection,7611,0.7644636400160707
2015–2017,RURAL,Other/Unknown,173,0.017376456408196062
2015–2017,RURAL,T intersection,1303,0.13087585375652871
2015–2017,URBAN,Cross intersection,6856,0.2428277962739959
2015–2017,URBAN,Not at intersection,12900,0.4568959410639654
2015–2017,URBAN,Other/Unknown,939,0.03325777431465609
2015–2017,URBAN,T intersection,7539,0.26701848834738257
2018–2020,RURAL,Cross intersection,944,0.1084683442491095
2018–2020,RURAL,Not at intersection,6463,0.742617488222452
2018–2020,RURAL,Other/Unknown,155,0.01780995059174997
2018–2020,RURAL,T intersection,1141,0.1311042169366885
2018–2020,URBAN,Cross intersection,6260,0.25310314155177294
2018–2020,URBAN,Not at intersection,11609,0.4693729025997655
2018–2020,URBAN,Other/Unknown,669,0.027048882060405125
2018–2020,URBAN,T intersection,6195,0.25047507378805645
2021–2023,RURAL,Cross intersection,1127,0.1152823240589198
2021–2023,RURAL,Not at intersection,7130,0.7293371522094927
2021–2023,RURAL,Other/Unknown,230,0.023527004909983634
2021–2023,RURAL,T intersection,1289,0.13185351882160393
2021–2023,URBAN,Cross intersection,6621,0.24185417884278199
2021–2023,URBAN,Not at intersection,13424,0.49035651665692576
2021–2023,URBAN,Other/Unknown,737,0.026921390999415547
2021–2023,URBAN,T intersection,6594,0.2408679135008767
2024–2025,RURAL,Cross intersection,300,0.12295081967213115
2024–2025,RURAL,Not at intersection,1733,0.7102459016393443
2024–2025,RURAL,Other/Unknown,27,0.011065573770491803
2024–2025,RURAL,T intersection,380,0.1557377049180328
2024–2025,URBAN,Cross intersection,1833,0.26731806912644013
2024–2025,URBAN,Not at intersection,3151,0.45953040688347674
2024–2025,URBAN,Other/Unknown,99,0.014437800787516407
2024–2025,URBAN,T intersection,1774,0.25871372320256675
