period,urban_rural,geom_group,crashes,fatalities,fatal_per_1000
2012–2014,RURAL,Cross intersection,856,40,46.728971962616825
2012–2014,RURAL,Not at intersection,6651,334,50.21801232897309
2012–2014,RURAL,Other/Unknown,143,3,20.97902097902098
2012–2014,RURAL,T intersection,1266,38,30.015797788309637
2012–2014,URBAN,Cross intersection,7225,48,6.643598615916955
2012–2014,URBAN,Not at intersection,10970,146,13.309024612579764
2012–2014,URBAN,Other/Unknown,835,7,8.383233532934131
2012–2014,URBAN,T intersection,8373,77,9.196225964409411
2015–2017,RURAL,Cross intersection,869,48,55.23590333716916
2015–2017,RURAL,Not at intersection,7611,359,47.16857180396794
2015–2017,RURAL,Other/Unknown,173,4,23.121387283236995
2015–2017,RURAL,T intersection,1303,36,27.62854950115119
2015–2017,URBAN,Cross intersection,6856,51,7.438739789964994
2015–2017,URBAN,Not at intersection,12900,163,12.635658914728682
2015–2017,URBAN,Other/Unknown,939,6,6.389776357827476
2015–2017,URBAN,T intersection,7539,66,8.754476721050537
2018–2020,RURAL,Cross intersection,944,34,36.016949152542374
2018–2020,RURAL,Not at intersection,6463,299,46.263345195729535
2018–2020,RURAL,Other/Unknown,155,4,25.806451612903224
2018–2020,RURAL,T intersection,1141,23,20.15775635407537
2018–2020,URBAN,Cross intersection,6260,45,7.18849840255591
2018–2020,URBAN,Not at intersection,11609,127,10.939788095443191
2018–2020,URBAN,Other/Unknown,669,5,7.473841554559043
2018–2020,URBAN,T intersection,6195,56,9.03954802259887
2021–2023,RURAL,Cross intersection,1127,58,51.464063886424135
2021–2023,RURAL,Not at intersection,7130,324,45.44179523141655
2021–2023,RURAL,Other/Unknown,230,5,21.73913043478261
2021–2023,RURAL,T intersection,1289,41,31.807602792862685
2021–2023,URBAN,Cross intersection,6621,59,8.911040628303882
2021–2023,URBAN,Not at intersection,13424,138,10.280095351609058
2021–2023,URBAN,Other/Unknown,737,5,6.784260515603799
2021–2023,URBAN,T intersection,6594,62,9.402487109493478
2024–2025,RURAL,Cross intersection,300,9,30
2024–2025,RURAL,Not at intersection,1733,91,52.510098095787654
2024–2025,RURAL,Other/Unknown,27,0,0
2024–2025,RURAL,T intersection,380,5,13.157894736842104
2024–2025,URBAN,Cross intersection,1833,15,8.183306055646481
2024–2025,URBAN,Not at intersection,3151,45,14.281180577594414
2024–2025,URBAN,Other/Unknown,99,0,0
2024–2025,URBAN,T intersection,1774,23,12.965050732807216
