period,urban_rural,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,RURAL,Cross intersection,856,40,46.728971962616825,0.09600717810677434,9.600717810677434
2012–2014,RURAL,Not at intersection,6651,334,50.21801232897309,0.7459623149394348,74.59623149394348
2012–2014,RURAL,Other/Unknown,143,3,20.97902097902098,0.01603858232391207,1.603858232391207
2012–2014,RURAL,T intersection,1266,38,30.015797788309637,0.14199192462987886,14.199192462987886
2012–2014,URBAN,Cross intersection,7225,48,6.643598615916955,0.26365726380323323,26.365726380323323
2012–2014,URBAN,Not at intersection,10970,146,13.309024612579764,0.4003211327226946,40.03211327226946
2012–2014,URBAN,Other/Unknown,835,7,8.383233532934131,0.03047111630113491,3.0471116301134913
2012–2014,URBAN,T intersection,8373,77,9.196225964409411,0.30555048717293726,30.555048717293726
2015–2017,RURAL,Cross intersection,869,48,55.23590333716916,0.0872840498192045,8.72840498192045
2015–2017,RURAL,Not at intersection,7611,359,47.16857180396794,0.7644636400160707,76.44636400160707
2015–2017,RURAL,Other/Unknown,173,4,23.121387283236995,0.017376456408196062,1.7376456408196062
2015–2017,RURAL,T intersection,1303,36,27.62854950115119,0.13087585375652871,13.087585375652871
2015–2017,URBAN,Cross intersection,6856,51,7.438739789964994,0.2428277962739959,24.282779627399588
2015–2017,URBAN,Not at intersection,12900,163,12.635658914728682,0.4568959410639654,45.68959410639654
2015–2017,URBAN,Other/Unknown,939,6,6.389776357827476,0.03325777431465609,3.325777431465609
2015–2017,URBAN,T intersection,7539,66,8.754476721050537,0.26701848834738257,26.701848834738257
2018–2020,RURAL,Cross intersection,944,34,36.016949152542374,0.1084683442491095,10.84683442491095
2018–2020,RURAL,Not at intersection,6463,299,46.263345195729535,0.742617488222452,74.2617488222452
2018–2020,RURAL,Other/Unknown,155,4,25.806451612903224,0.01780995059174997,1.780995059174997
2018–2020,RURAL,T intersection,1141,23,20.15775635407537,0.1311042169366885,13.110421693668851
2018–2020,URBAN,Cross intersection,6260,45,7.18849840255591,0.25310314155177294,25.310314155177295
2018–2020,URBAN,Not at intersection,11609,127,10.939788095443191,0.4693729025997655,46.93729025997655
2018–2020,URBAN,Other/Unknown,669,5,7.473841554559043,0.027048882060405125,2.7048882060405126
2018–2020,URBAN,T intersection,6195,56,9.03954802259887,0.25047507378805645,25.047507378805644
2021–2023,RURAL,Cross intersection,1127,58,51.464063886424135,0.1152823240589198,11.52823240589198
2021–2023,RURAL,Not at intersection,7130,324,45.44179523141655,0.7293371522094927,72.93371522094927
2021–2023,RURAL,Other/Unknown,230,5,21.73913043478261,0.023527004909983634,2.3527004909983633
2021–2023,RURAL,T intersection,1289,41,31.807602792862685,0.13185351882160393,13.185351882160393
2021–2023,URBAN,Cross intersection,6621,59,8.911040628303882,0.24185417884278199,24.1854178842782
2021–2023,URBAN,Not at intersection,13424,138,10.280095351609058,0.49035651665692576,49.035651665692576
2021–2023,URBAN,Other/Unknown,737,5,6.784260515603799,0.026921390999415547,2.6921390999415546
2021–2023,URBAN,T intersection,6594,62,9.402487109493478,0.2408679135008767,24.08679135008767
2024–2025,RURAL,Cross intersection,300,9,30,0.12295081967213115,12.295081967213115
2024–2025,RURAL,Not at intersection,1733,91,52.510098095787654,0.7102459016393443,71.02459016393443
2024–2025,RURAL,Other/Unknown,27,0,0,0.011065573770491803,1.1065573770491803
2024–2025,RURAL,T intersection,380,5,13.157894736842104,0.1557377049180328,15.573770491803279
2024–2025,URBAN,Cross intersection,1833,15,8.183306055646481,0.26731806912644013,26.731806912644014
2024–2025,URBAN,Not at intersection,3151,45,14.281180577594414,0.45953040688347674,45.95304068834768
2024–2025,URBAN,Other/Unknown,99,0,0,0.014437800787516407,1.4437800787516406
2024–2025,URBAN,T intersection,1774,23,12.965050732807216,0.25871372320256675,25.871372320256675
