period,urban_rural,light_cat,crashes,share
2012–2014,RURAL,Dark—Lighted,175,0.019627635711081202
2012–2014,RURAL,Dark—Unlighted,13,0.0014580529385374607
2012–2014,RURAL,Daylight,6000,0.6729475100942126
2012–2014,RURAL,Dusk/Dawn,976,0.1094661283086586
2012–2014,RURAL,Other/Unknown,1752,0.19650067294751009
2012–2014,URBAN,Dark—Lighted,5313,0.19388388132686202
2012–2014,URBAN,Dark—Unlighted,57,0.0020800642265445387
2012–2014,URBAN,Daylight,17308,0.6316096777725067
2012–2014,URBAN,Dusk/Dawn,3272,0.11940298507462686
2012–2014,URBAN,Other/Unknown,1453,0.053023391599459915
2015–2017,RURAL,Dark—Lighted,256,0.02571313780634793
2015–2017,RURAL,Dark—Unlighted,21,0.002109280835676979
2015–2017,RURAL,Daylight,6768,0.6797910807553235
2015–2017,RURAL,Dusk/Dawn,889,0.08929288871032544
2015–2017,RURAL,Other/Unknown,2022,0.20309361189232625
2015–2017,URBAN,Dark—Lighted,5708,0.20216759934830347
2015–2017,URBAN,Dark—Unlighted,73,0.002585535170361975
2015–2017,URBAN,Daylight,18111,0.6414606502798045
2015–2017,URBAN,Dusk/Dawn,2629,0.09311468442303605
2015–2017,URBAN,Other/Unknown,1713,0.060671530778494014
2018–2020,RURAL,Dark—Lighted,286,0.03286223141445479
2018–2020,RURAL,Dark—Unlighted,13,0.0014937377915661266
2018–2020,RURAL,Daylight,6092,0.6999885097092956
2018–2020,RURAL,Dusk/Dawn,513,0.05894519131334023
2018–2020,RURAL,Other/Unknown,1799,0.2067103297713432
2018–2020,URBAN,Dark—Lighted,4611,0.186431083976873
2018–2020,URBAN,Dark—Unlighted,60,0.0024259087049690697
2018–2020,URBAN,Daylight,16950,0.6853192091537622
2018–2020,URBAN,Dusk/Dawn,1459,0.05899001334249788
2018–2020,URBAN,Other/Unknown,1653,0.06683378482189786
2021–2023,RURAL,Dark—Lighted,430,0.043985270049099835
2021–2023,RURAL,Dark—Unlighted,20,0.0020458265139116204
2021–2023,RURAL,Daylight,6745,0.689954991816694
2021–2023,RURAL,Dusk/Dawn,767,0.07845744680851063
2021–2023,RURAL,Other/Unknown,1814,0.18555646481178395
2021–2023,URBAN,Dark—Lighted,5208,0.190239625949737
2021–2023,URBAN,Dark—Unlighted,55,0.0020090590298071304
2021–2023,URBAN,Daylight,17893,0.6536016949152542
2021–2023,URBAN,Dusk/Dawn,2332,0.08518410286382233
2021–2023,URBAN,Other/Unknown,1888,0.06896551724137931
2024–2025,RURAL,Dark—Lighted,141,0.05778688524590164
2024–2025,RURAL,Dark—Unlighted,5,0.0020491803278688526
2024–2025,RURAL,Daylight,1651,0.6766393442622951
2024–2025,RURAL,Dusk/Dawn,173,0.0709016393442623
2024–2025,RURAL,Other/Unknown,470,0.19262295081967212
2024–2025,URBAN,Dark—Lighted,1431,0.20869184774682806
2024–2025,URBAN,Dark—Unlighted,26,0.0037917456613679452
2024–2025,URBAN,Daylight,4568,0.6661805454280297
2024–2025,URBAN,Dusk/Dawn,475,0.06927227650576054
2024–2025,URBAN,Other/Unknown,357,0.05206358465801371
