period,urban_rural,light_cat,crashes,fatalities,fatal_per_1000
2012–2014,RURAL,Dark—Lighted,175,7,40
2012–2014,RURAL,Dark—Unlighted,13,0,0
2012–2014,RURAL,Daylight,6000,253,42.166666666666664
2012–2014,RURAL,Dusk/Dawn,976,37,37.90983606557377
2012–2014,RURAL,Other/Unknown,1752,118,67.35159817351598
2012–2014,URBAN,Dark—Lighted,5313,97,18.257105213626954
2012–2014,URBAN,Dark—Unlighted,57,2,35.08771929824562
2012–2014,URBAN,Daylight,17308,142,8.204298590247285
2012–2014,URBAN,Dusk/Dawn,3272,22,6.723716381418093
2012–2014,URBAN,Other/Unknown,1453,15,10.323468685478321
2015–2017,RURAL,Dark—Lighted,256,7,27.34375
2015–2017,RURAL,Dark—Unlighted,21,0,0
2015–2017,RURAL,Daylight,6768,276,40.780141843971634
2015–2017,RURAL,Dusk/Dawn,889,41,46.11923509561305
2015–2017,RURAL,Other/Unknown,2022,123,60.83086053412463
2015–2017,URBAN,Dark—Lighted,5708,100,17.51927119831815
2015–2017,URBAN,Dark—Unlighted,73,2,27.397260273972602
2015–2017,URBAN,Daylight,18111,141,7.785323836342554
2015–2017,URBAN,Dusk/Dawn,2629,21,7.98782807151008
2015–2017,URBAN,Other/Unknown,1713,22,12.84296555750146
2018–2020,RURAL,Dark—Lighted,286,7,24.475524475524477
2018–2020,RURAL,Dark—Unlighted,13,0,0
2018–2020,RURAL,Daylight,6092,227,37.261982928430726
2018–2020,RURAL,Dusk/Dawn,513,11,21.44249512670565
2018–2020,RURAL,Other/Unknown,1799,115,63.924402445803224
2018–2020,URBAN,Dark—Lighted,4611,81,17.56668835393624
2018–2020,URBAN,Dark—Unlighted,60,2,33.333333333333336
2018–2020,URBAN,Daylight,16950,129,7.610619469026549
2018–2020,URBAN,Dusk/Dawn,1459,11,7.539410555174777
2018–2020,URBAN,Other/Unknown,1653,10,6.049606775559589
2021–2023,RURAL,Dark—Lighted,430,11,25.58139534883721
2021–2023,RURAL,Dark—Unlighted,20,0,0
2021–2023,RURAL,Daylight,6745,286,42.40177909562639
2021–2023,RURAL,Dusk/Dawn,767,27,35.202086049543674
2021–2023,RURAL,Other/Unknown,1814,104,57.33186328555678
2021–2023,URBAN,Dark—Lighted,5208,91,17.473118279569892
2021–2023,URBAN,Dark—Unlighted,55,1,18.181818181818183
2021–2023,URBAN,Daylight,17893,148,8.271391046778069
2021–2023,URBAN,Dusk/Dawn,2332,11,4.716981132075472
2021–2023,URBAN,Other/Unknown,1888,13,6.885593220338983
2024–2025,RURAL,Dark—Lighted,141,3,21.27659574468085
2024–2025,RURAL,Dark—Unlighted,5,0,0
2024–2025,RURAL,Daylight,1651,68,41.18715929739552
2024–2025,RURAL,Dusk/Dawn,173,8,46.24277456647399
2024–2025,RURAL,Other/Unknown,470,26,55.319148936170215
2024–2025,URBAN,Dark—Lighted,1431,31,21.663172606568832
2024–2025,URBAN,Dark—Unlighted,26,0,0
2024–2025,URBAN,Daylight,4568,40,8.756567425569177
2024–2025,URBAN,Dusk/Dawn,475,6,12.631578947368421
2024–2025,URBAN,Other/Unknown,357,6,16.80672268907563
