period,urban_rural,light_cat,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,RURAL,Dark—Lighted,175,7,40,0.019627635711081202,1.9627635711081202
2012–2014,RURAL,Dark—Unlighted,13,0,0,0.0014580529385374607,0.14580529385374608
2012–2014,RURAL,Daylight,6000,253,42.166666666666664,0.6729475100942126,67.29475100942126
2012–2014,RURAL,Dusk/Dawn,976,37,37.90983606557377,0.1094661283086586,10.94661283086586
2012–2014,RURAL,Other/Unknown,1752,118,67.35159817351598,0.19650067294751009,19.650067294751008
2012–2014,URBAN,Dark—Lighted,5313,97,18.257105213626954,0.19388388132686202,19.388388132686202
2012–2014,URBAN,Dark—Unlighted,57,2,35.08771929824562,0.0020800642265445387,0.20800642265445388
2012–2014,URBAN,Daylight,17308,142,8.204298590247285,0.6316096777725067,63.16096777725066
2012–2014,URBAN,Dusk/Dawn,3272,22,6.723716381418093,0.11940298507462686,11.940298507462686
2012–2014,URBAN,Other/Unknown,1453,15,10.323468685478321,0.053023391599459915,5.3023391599459915
2015–2017,RURAL,Dark—Lighted,256,7,27.34375,0.02571313780634793,2.571313780634793
2015–2017,RURAL,Dark—Unlighted,21,0,0,0.002109280835676979,0.21092808356769788
2015–2017,RURAL,Daylight,6768,276,40.780141843971634,0.6797910807553235,67.97910807553235
2015–2017,RURAL,Dusk/Dawn,889,41,46.11923509561305,0.08929288871032544,8.929288871032544
2015–2017,RURAL,Other/Unknown,2022,123,60.83086053412463,0.20309361189232625,20.309361189232625
2015–2017,URBAN,Dark—Lighted,5708,100,17.51927119831815,0.20216759934830347,20.216759934830346
2015–2017,URBAN,Dark—Unlighted,73,2,27.397260273972602,0.002585535170361975,0.2585535170361975
2015–2017,URBAN,Daylight,18111,141,7.785323836342554,0.6414606502798045,64.14606502798044
2015–2017,URBAN,Dusk/Dawn,2629,21,7.98782807151008,0.09311468442303605,9.311468442303605
2015–2017,URBAN,Other/Unknown,1713,22,12.84296555750146,0.060671530778494014,6.067153077849401
2018–2020,RURAL,Dark—Lighted,286,7,24.475524475524477,0.03286223141445479,3.286223141445479
2018–2020,RURAL,Dark—Unlighted,13,0,0,0.0014937377915661266,0.14937377915661265
2018–2020,RURAL,Daylight,6092,227,37.261982928430726,0.6999885097092956,69.99885097092957
2018–2020,RURAL,Dusk/Dawn,513,11,21.44249512670565,0.05894519131334023,5.894519131334023
2018–2020,RURAL,Other/Unknown,1799,115,63.924402445803224,0.2067103297713432,20.67103297713432
2018–2020,URBAN,Dark—Lighted,4611,81,17.56668835393624,0.186431083976873,18.6431083976873
2018–2020,URBAN,Dark—Unlighted,60,2,33.333333333333336,0.0024259087049690697,0.24259087049690697
2018–2020,URBAN,Daylight,16950,129,7.610619469026549,0.6853192091537622,68.53192091537622
2018–2020,URBAN,Dusk/Dawn,1459,11,7.539410555174777,0.05899001334249788,5.899001334249788
2018–2020,URBAN,Other/Unknown,1653,10,6.049606775559589,0.06683378482189786,6.683378482189786
2021–2023,RURAL,Dark—Lighted,430,11,25.58139534883721,0.043985270049099835,4.398527004909983
2021–2023,RURAL,Dark—Unlighted,20,0,0,0.0020458265139116204,0.20458265139116205
2021–2023,RURAL,Daylight,6745,286,42.40177909562639,0.689954991816694,68.9954991816694
2021–2023,RURAL,Dusk/Dawn,767,27,35.202086049543674,0.07845744680851063,7.845744680851063
2021–2023,RURAL,Other/Unknown,1814,104,57.33186328555678,0.18555646481178395,18.555646481178396
2021–2023,URBAN,Dark—Lighted,5208,91,17.473118279569892,0.190239625949737,19.0239625949737
2021–2023,URBAN,Dark—Unlighted,55,1,18.181818181818183,0.0020090590298071304,0.20090590298071304
2021–2023,URBAN,Daylight,17893,148,8.271391046778069,0.6536016949152542,65.36016949152543
2021–2023,URBAN,Dusk/Dawn,2332,11,4.716981132075472,0.08518410286382233,8.518410286382233
2021–2023,URBAN,Other/Unknown,1888,13,6.885593220338983,0.06896551724137931,6.896551724137931
2024–2025,RURAL,Dark—Lighted,141,3,21.27659574468085,0.05778688524590164,5.778688524590164
2024–2025,RURAL,Dark—Unlighted,5,0,0,0.0020491803278688526,0.20491803278688525
2024–2025,RURAL,Daylight,1651,68,41.18715929739552,0.6766393442622951,67.66393442622952
2024–2025,RURAL,Dusk/Dawn,173,8,46.24277456647399,0.0709016393442623,7.09016393442623
2024–2025,RURAL,Other/Unknown,470,26,55.319148936170215,0.19262295081967212,19.262295081967213
2024–2025,URBAN,Dark—Lighted,1431,31,21.663172606568832,0.20869184774682806,20.869184774682807
2024–2025,URBAN,Dark—Unlighted,26,0,0,0.0037917456613679452,0.3791745661367945
2024–2025,URBAN,Daylight,4568,40,8.756567425569177,0.6661805454280297,66.61805454280298
2024–2025,URBAN,Dusk/Dawn,475,6,12.631578947368421,0.06927227650576054,6.927227650576054
2024–2025,URBAN,Other/Unknown,357,6,16.80672268907563,0.05206358465801371,5.206358465801371
