period,urban_rural,surface_cat,crashes,share
2012–2014,RURAL,Dry,6689,0.736187541272287
2012–2014,RURAL,Loose/Gravel,8,8.804754567466431e-4
2012–2014,RURAL,Oil/Mud/Debris,77,0.00847457627118644
2012–2014,RURAL,Other/Unknown,400,0.04402377283733216
2012–2014,RURAL,Snow/Ice,228,0.02509355051727933
2012–2014,RURAL,Wet,1684,0.18534008364516838
2012–2014,URBAN,Dry,21232,0.7731692218054695
2012–2014,URBAN,Loose/Gravel,17,0.00061905975747423615
2012–2014,URBAN,Oil/Mud/Debris,34,0.0012381195149484723
2012–2014,URBAN,Other/Unknown,1788,0.06511052037434907
2012–2014,URBAN,Snow/Ice,27,9.832125559884927e-4
2012–2014,URBAN,Wet,4363,0.15887986599177015
2015–2017,RURAL,Dry,7419,0.7311520646496501
2015–2017,RURAL,Loose/Gravel,8,7.884103675963339e-4
2015–2017,RURAL,Oil/Mud/Debris,91,0.008968167931408299
2015–2017,RURAL,Other/Unknown,490,0.04829013501527545
2015–2017,RURAL,Snow/Ice,240,0.023652311027890015
2015–2017,RURAL,Wet,1899,0.18714891100817976
2015–2017,URBAN,Dry,22208,0.7849291344148729
2015–2017,URBAN,Loose/Gravel,9,3.180998833633761e-4
2015–2017,URBAN,Oil/Mud/Debris,49,0.0017318771427561588
2015–2017,URBAN,Other/Unknown,1929,0.06817940833421694
2015–2017,URBAN,Snow/Ice,21,7.422330611812109e-4
2015–2017,URBAN,Wet,4077,0.14409924716360936
2018–2020,RURAL,Dry,6726,0.7618076792388719
2018–2020,RURAL,Loose/Gravel,11,0.0012458942122550686
2018–2020,RURAL,Oil/Mud/Debris,61,0.00690904972250538
2018–2020,RURAL,Other/Unknown,401,0.0454185071922075
2018–2020,RURAL,Snow/Ice,156,0.01766904519198097
2018–2020,RURAL,Wet,1474,0.16694982444217918
2018–2020,URBAN,Dry,19854,0.8014370483994672
2018–2020,URBAN,Loose/Gravel,4,1.614661122996811e-4
2018–2020,URBAN,Oil/Mud/Debris,45,0.0018164937633714125
2018–2020,URBAN,Other/Unknown,1752,0.07072215718726033
2018–2020,URBAN,Snow/Ice,18,7.26597505348565e-4
2018–2020,URBAN,Wet,3100,0.12513623703225285
2021–2023,RURAL,Dry,7255,0.729365637880768
2021–2023,RURAL,Loose/Gravel,7,7.037297677691766e-4
2021–2023,RURAL,Oil/Mud/Debris,48,0.004825575550417211
2021–2023,RURAL,Other/Unknown,554,0.05569518447773198
2021–2023,RURAL,Snow/Ice,243,0.024429476223987133
2021–2023,RURAL,Wet,1840,0.18498039609932643
2021–2023,URBAN,Dry,21318,0.7770083102493075
2021–2023,URBAN,Loose/Gravel,6,2.1869077124945328e-4
2021–2023,URBAN,Oil/Mud/Debris,64,0.002332701559994168
2021–2023,URBAN,Other/Unknown,2264,0.0825193176847937
2021–2023,URBAN,Snow/Ice,17,6.196238518734509e-4
2021–2023,URBAN,Wet,3767,0.13730135588278175
2024–2025,RURAL,Dry,1846,0.7482772598297527
2024–2025,RURAL,Loose/Gravel,3,0.0012160518848804217
2024–2025,RURAL,Oil/Mud/Debris,19,0.007701661937576003
2024–2025,RURAL,Other/Unknown,185,0.07498986623429266
2024–2025,RURAL,Snow/Ice,43,0.017430077016619375
2024–2025,RURAL,Wet,371,0.1503850830968788
2024–2025,URBAN,Dry,5462,0.7949352350458448
2024–2025,URBAN,Loose/Gravel,2,2.9107844564110026e-4
2024–2025,URBAN,Oil/Mud/Debris,11,0.0016009314510260515
2024–2025,URBAN,Other/Unknown,614,0.08936108281181779
2024–2025,URBAN,Snow/Ice,5,7.276961141027507e-4
2024–2025,URBAN,Wet,777,0.11308397613156745
