period,urban_rural,surface_cat,crashes,fatalities,fatal_per_1000
2012–2014,RURAL,Dry,6689,348,52.02571385857378
2012–2014,RURAL,Loose/Gravel,8,0,0
2012–2014,RURAL,Oil/Mud/Debris,77,2,25.974025974025974
2012–2014,RURAL,Other/Unknown,400,7,17.5
2012–2014,RURAL,Snow/Ice,228,2,8.771929824561404
2012–2014,RURAL,Wet,1684,60,35.62945368171022
2012–2014,URBAN,Dry,21232,242,11.397889977392614
2012–2014,URBAN,Loose/Gravel,17,0,0
2012–2014,URBAN,Oil/Mud/Debris,34,0,0
2012–2014,URBAN,Other/Unknown,1788,0,0
2012–2014,URBAN,Snow/Ice,27,0,0
2012–2014,URBAN,Wet,4363,36,8.25120330048132
2015–2017,RURAL,Dry,7419,367,49.467583232241545
2015–2017,RURAL,Loose/Gravel,8,0,0
2015–2017,RURAL,Oil/Mud/Debris,91,4,43.956043956043956
2015–2017,RURAL,Other/Unknown,490,11,22.448979591836736
2015–2017,RURAL,Snow/Ice,240,4,16.666666666666668
2015–2017,RURAL,Wet,1899,66,34.75513428120063
2015–2017,URBAN,Dry,22208,250,11.257204610951009
2015–2017,URBAN,Loose/Gravel,9,0,0
2015–2017,URBAN,Oil/Mud/Debris,49,1,20.408163265306122
2015–2017,URBAN,Other/Unknown,1929,0,0
2015–2017,URBAN,Snow/Ice,21,0,0
2015–2017,URBAN,Wet,4077,35,8.584743684081433
2018–2020,RURAL,Dry,6726,308,45.792447219744275
2018–2020,RURAL,Loose/Gravel,11,1,90.9090909090909
2018–2020,RURAL,Oil/Mud/Debris,61,2,32.78688524590164
2018–2020,RURAL,Other/Unknown,401,6,14.962593516209477
2018–2020,RURAL,Snow/Ice,156,3,19.23076923076923
2018–2020,RURAL,Wet,1474,43,29.17232021709634
2018–2020,URBAN,Dry,19854,209,10.526845975622042
2018–2020,URBAN,Loose/Gravel,4,0,0
2018–2020,URBAN,Oil/Mud/Debris,45,1,22.22222222222222
2018–2020,URBAN,Other/Unknown,1752,2,1.1415525114155252
2018–2020,URBAN,Snow/Ice,18,0,0
2018–2020,URBAN,Wet,3100,22,7.096774193548387
2021–2023,RURAL,Dry,7255,355,48.93177119228118
2021–2023,RURAL,Loose/Gravel,7,0,0
2021–2023,RURAL,Oil/Mud/Debris,48,4,83.33333333333333
2021–2023,RURAL,Other/Unknown,554,8,14.440433212996389
2021–2023,RURAL,Snow/Ice,243,4,16.46090534979424
2021–2023,RURAL,Wet,1840,62,33.69565217391305
2021–2023,URBAN,Dry,21318,226,10.60136973449667
2021–2023,URBAN,Loose/Gravel,6,0,0
2021–2023,URBAN,Oil/Mud/Debris,64,1,15.625
2021–2023,URBAN,Other/Unknown,2264,1,0.4416961130742049
2021–2023,URBAN,Snow/Ice,17,0,0
2021–2023,URBAN,Wet,3767,36,9.556676400318556
2024–2025,RURAL,Dry,1846,91,49.29577464788732
2024–2025,RURAL,Loose/Gravel,3,0,0
2024–2025,RURAL,Oil/Mud/Debris,19,0,0
2024–2025,RURAL,Other/Unknown,185,2,10.81081081081081
2024–2025,RURAL,Snow/Ice,43,1,23.25581395348837
2024–2025,RURAL,Wet,371,11,29.649595687331537
2024–2025,URBAN,Dry,5462,73,13.365067740754302
2024–2025,URBAN,Loose/Gravel,2,0,0
2024–2025,URBAN,Oil/Mud/Debris,11,0,0
2024–2025,URBAN,Other/Unknown,614,2,3.257328990228013
2024–2025,URBAN,Snow/Ice,5,0,0
2024–2025,URBAN,Wet,777,8,10.296010296010296
