period,urban_rural,surface_cat,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,RURAL,Dry,6689,348,52.02571385857378,0.736187541272287,73.6187541272287
2012–2014,RURAL,Loose/Gravel,8,0,0,8.804754567466431e-4,0.08804754567466432
2012–2014,RURAL,Oil/Mud/Debris,77,2,25.974025974025974,0.00847457627118644,0.847457627118644
2012–2014,RURAL,Other/Unknown,400,7,17.5,0.04402377283733216,4.402377283733216
2012–2014,RURAL,Snow/Ice,228,2,8.771929824561404,0.02509355051727933,2.509355051727933
2012–2014,RURAL,Wet,1684,60,35.62945368171022,0.18534008364516838,18.534008364516836
2012–2014,URBAN,Dry,21232,242,11.397889977392614,0.7731692218054695,77.31692218054695
2012–2014,URBAN,Loose/Gravel,17,0,0,0.00061905975747423615,0.06190597574742362
2012–2014,URBAN,Oil/Mud/Debris,34,0,0,0.0012381195149484723,0.12381195149484724
2012–2014,URBAN,Other/Unknown,1788,0,0,0.06511052037434907,6.511052037434907
2012–2014,URBAN,Snow/Ice,27,0,0,9.832125559884927e-4,0.09832125559884927
2012–2014,URBAN,Wet,4363,36,8.25120330048132,0.15887986599177015,15.887986599177015
2015–2017,RURAL,Dry,7419,367,49.467583232241545,0.7311520646496501,73.11520646496501
2015–2017,RURAL,Loose/Gravel,8,0,0,7.884103675963339e-4,0.07884103675963339
2015–2017,RURAL,Oil/Mud/Debris,91,4,43.956043956043956,0.008968167931408299,0.8968167931408298
2015–2017,RURAL,Other/Unknown,490,11,22.448979591836736,0.04829013501527545,4.8290135015275455
2015–2017,RURAL,Snow/Ice,240,4,16.666666666666668,0.023652311027890015,2.3652311027890014
2015–2017,RURAL,Wet,1899,66,34.75513428120063,0.18714891100817976,18.714891100817976
2015–2017,URBAN,Dry,22208,250,11.257204610951009,0.7849291344148729,78.49291344148729
2015–2017,URBAN,Loose/Gravel,9,0,0,3.180998833633761e-4,0.031809988336337615
2015–2017,URBAN,Oil/Mud/Debris,49,1,20.408163265306122,0.0017318771427561588,0.17318771427561588
2015–2017,URBAN,Other/Unknown,1929,0,0,0.06817940833421694,6.817940833421694
2015–2017,URBAN,Snow/Ice,21,0,0,7.422330611812109e-4,0.0742233061181211
2015–2017,URBAN,Wet,4077,35,8.584743684081433,0.14409924716360936,14.409924716360937
2018–2020,RURAL,Dry,6726,308,45.792447219744275,0.7618076792388719,76.18076792388719
2018–2020,RURAL,Loose/Gravel,11,1,90.9090909090909,0.0012458942122550686,0.12458942122550686
2018–2020,RURAL,Oil/Mud/Debris,61,2,32.78688524590164,0.00690904972250538,0.6909049722505379
2018–2020,RURAL,Other/Unknown,401,6,14.962593516209477,0.0454185071922075,4.54185071922075
2018–2020,RURAL,Snow/Ice,156,3,19.23076923076923,0.01766904519198097,1.766904519198097
2018–2020,RURAL,Wet,1474,43,29.17232021709634,0.16694982444217918,16.694982444217917
2018–2020,URBAN,Dry,19854,209,10.526845975622042,0.8014370483994672,80.14370483994672
2018–2020,URBAN,Loose/Gravel,4,0,0,1.614661122996811e-4,0.016146611229968112
2018–2020,URBAN,Oil/Mud/Debris,45,1,22.22222222222222,0.0018164937633714125,0.18164937633714126
2018–2020,URBAN,Other/Unknown,1752,2,1.1415525114155252,0.07072215718726033,7.072215718726032
2018–2020,URBAN,Snow/Ice,18,0,0,7.26597505348565e-4,0.0726597505348565
2018–2020,URBAN,Wet,3100,22,7.096774193548387,0.12513623703225285,12.513623703225285
2021–2023,RURAL,Dry,7255,355,48.93177119228118,0.729365637880768,72.9365637880768
2021–2023,RURAL,Loose/Gravel,7,0,0,7.037297677691766e-4,0.07037297677691766
2021–2023,RURAL,Oil/Mud/Debris,48,4,83.33333333333333,0.004825575550417211,0.48255755504172115
