period,urban_rural,speed_bucket,crashes,share
2012–2014,RURAL,>=90,5329,0.5976895468820098
2012–2014,RURAL,Unknown,3587,0.40231045311799013
2012–2014,URBAN,>=90,1275,0.04652775243586468
2012–2014,URBAN,Unknown,26128,0.9534722475641353
2015–2017,RURAL,>=90,5577,0.5601647247890719
2015–2017,RURAL,Unknown,4379,0.4398352752109281
2015–2017,URBAN,>=90,1539,0.05450874831763122
2015–2017,URBAN,Unknown,26695,0.9454912516823688
2018–2020,RURAL,>=90,4544,0.5221188096058831
2018–2020,RURAL,Unknown,4159,0.477881190394117
2018–2020,URBAN,>=90,1143,0.04621356082966078
2018–2020,URBAN,Unknown,23590,0.9537864391703392
2021–2023,RURAL,>=90,4614,0.4719721767594108
2021–2023,RURAL,Unknown,5162,0.5280278232405892
2021–2023,URBAN,>=90,1298,0.047413793103448273
2021–2023,URBAN,Unknown,26078,0.9525862068965517
2024–2025,RURAL,>=90,1056,0.43278688524590164
2024–2025,RURAL,Unknown,1384,0.5672131147540984
2024–2025,URBAN,>=90,392,0.057167857663701326
2024–2025,URBAN,Unknown,6465,0.9428321423362986
