period,urban_rural,speed_bucket,crashes,fatalities,fatal_per_1000
2012–2014,RURAL,>=90,5329,351,65.86601613811222
2012–2014,RURAL,Unknown,3587,64,17.84220797323669
2012–2014,URBAN,>=90,1275,22,17.254901960784313
2012–2014,URBAN,Unknown,26128,256,9.797917942437232
2015–2017,RURAL,>=90,5577,360,64.55083378160302
2015–2017,RURAL,Unknown,4379,87,19.867549668874172
2015–2017,URBAN,>=90,1539,22,14.294996751137102
2015–2017,URBAN,Unknown,26695,264,9.889492414309796
2018–2020,RURAL,>=90,4544,276,60.73943661971831
2018–2020,RURAL,Unknown,4159,84,20.197162779514308
2018–2020,URBAN,>=90,1143,13,11.373578302712161
2018–2020,URBAN,Unknown,23590,220,9.325985587113184
2021–2023,RURAL,>=90,4614,304,65.8864325964456
2021–2023,RURAL,Unknown,5162,124,24.02169701666021
2021–2023,URBAN,>=90,1298,12,9.244992295839754
2021–2023,URBAN,Unknown,26078,252,9.663317739090422
2024–2025,RURAL,>=90,1056,78,73.86363636363636
2024–2025,RURAL,Unknown,1384,27,19.508670520231213
2024–2025,URBAN,>=90,392,1,2.5510204081632653
2024–2025,URBAN,Unknown,6465,82,12.68368136117556
