period,urban_rural,speed_bucket,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,RURAL,>=90,5329,351,65.86601613811222,0.5976895468820098,59.76895468820098
2012–2014,RURAL,Unknown,3587,64,17.84220797323669,0.40231045311799013,40.231045311799015
2012–2014,URBAN,>=90,1275,22,17.254901960784313,0.04652775243586468,4.652775243586468
2012–2014,URBAN,Unknown,26128,256,9.797917942437232,0.9534722475641353,95.34722475641352
2015–2017,RURAL,>=90,5577,360,64.55083378160302,0.5601647247890719,56.01647247890719
2015–2017,RURAL,Unknown,4379,87,19.867549668874172,0.4398352752109281,43.98352752109281
2015–2017,URBAN,>=90,1539,22,14.294996751137102,0.05450874831763122,5.450874831763122
2015–2017,URBAN,Unknown,26695,264,9.889492414309796,0.9454912516823688,94.54912516823688
2018–2020,RURAL,>=90,4544,276,60.73943661971831,0.5221188096058831,52.21188096058831
2018–2020,RURAL,Unknown,4159,84,20.197162779514308,0.477881190394117,47.7881190394117
2018–2020,URBAN,>=90,1143,13,11.373578302712161,0.04621356082966078,4.621356082966078
2018–2020,URBAN,Unknown,23590,220,9.325985587113184,0.9537864391703392,95.37864391703393
2021–2023,RURAL,>=90,4614,304,65.8864325964456,0.4719721767594108,47.197217675941076
2021–2023,RURAL,Unknown,5162,124,24.02169701666021,0.5280278232405892,52.80278232405892
2021–2023,URBAN,>=90,1298,12,9.244992295839754,0.047413793103448273,4.741379310344827
2021–2023,URBAN,Unknown,26078,252,9.663317739090422,0.9525862068965517,95.25862068965517
2024–2025,RURAL,>=90,1056,78,73.86363636363636,0.43278688524590164,43.278688524590166
2024–2025,RURAL,Unknown,1384,27,19.508670520231213,0.5672131147540984,56.72131147540984
2024–2025,URBAN,>=90,392,1,2.5510204081632653,0.057167857663701326,5.7167857663701325
2024–2025,URBAN,Unknown,6465,82,12.68368136117556,0.9428321423362986,94.28321423362986
