period,geo4,crashes,fatalities,years,crashes_per_year,fatal_per_1000
2012–2014,MELB_URBAN,27403,278,3,9134.333333,10.14487465
2012–2014,RURAL_VICTORIA,8916,415,3,2972,46.54553611
2012–2014,SMALL_CITIES,2127,23,3,709,10.81335214
2012–2014,TOWNS,1300,31,3,433.3333333,23.84615385
2015–2017,MELB_URBAN,28234,286,3,9411.333333,10.12963094
2015–2017,RURAL_VICTORIA,9956,447,3,3318.666667,44.89754922
2015–2017,SMALL_CITIES,2337,29,3,779,12.40907146
2015–2017,TOWNS,1397,21,3,465.6666667,15.03221188
2018–2020,MELB_URBAN,24733,233,3,8244.333333,9.420612138
2018–2020,RURAL_VICTORIA,8703,360,3,2901,41.36504654
2018–2020,SMALL_CITIES,2081,31,3,693.6666667,14.89668429
2018–2020,TOWNS,1226,27,3,408.6666667,22.0228385
2021–2023,MELB_URBAN,27376,264,3,9125.333333,9.643483343
2021–2023,RURAL_VICTORIA,9776,428,3,3258.666667,43.7806874
2021–2023,SMALL_CITIES,2300,28,3,766.6666667,12.17391304
2021–2023,TOWNS,1383,23,3,461,16.63051338
2024–2025,MELB_URBAN,6857,83,2,3428.5,12.10441884
2024–2025,RURAL_VICTORIA,2440,105,2,1220,43.03278689
2024–2025,SMALL_CITIES,556,11,2,278,19.78417266
2024–2025,TOWNS,312,8,2,156,25.64102564
