period,geo4,hv_group,geom_group,crashes,share,share_pct
2012–2014,MELB_URBAN,Heavy-vehicle involved,Not at intersection,1482,0.3507692307692308,35.07692307692308
2012–2014,MELB_URBAN,Heavy-vehicle involved,Cross intersection,1167,0.2762130177514793,27.621301775147927
2012–2014,MELB_URBAN,Heavy-vehicle involved,T intersection,1460,0.3455621301775148,34.55621301775148
2012–2014,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,116,0.02745562130177515,2.745562130177515
2012–2014,MELB_URBAN,Other-vehicle,Not at intersection,9488,0.40935369747174044,40.93536974717404
2012–2014,MELB_URBAN,Other-vehicle,Cross intersection,6058,0.2613685391319355,26.136853913193548
2012–2014,MELB_URBAN,Other-vehicle,T intersection,6913,0.29825696781430666,29.825696781430665
2012–2014,MELB_URBAN,Other-vehicle,Other/Unknown,719,0.03102079558201743,3.1020795582017433
2012–2014,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,209,0.7013422818791947,70.13422818791946
2012–2014,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,38,0.12751677852348994,12.751677852348994
2012–2014,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,46,0.15436241610738255,15.436241610738255
2012–2014,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,5,0.016778523489932886,1.6778523489932886
2012–2014,RURAL_VICTORIA,Other-vehicle,Not at intersection,6442,0.7475052216291483,74.75052216291483
2012–2014,RURAL_VICTORIA,Other-vehicle,Cross intersection,818,0.09491761429566024,9.491761429566024
2012–2014,RURAL_VICTORIA,Other-vehicle,T intersection,1220,0.14156416802042238,14.156416802042237
2012–2014,RURAL_VICTORIA,Other-vehicle,Other/Unknown,138,0.016012996054769087,1.6012996054769086
2012–2014,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,71,0.2751937984496124,27.51937984496124
2012–2014,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,102,0.3953488372093023,39.53488372093023
2012–2014,SMALL_CITIES,Heavy-vehicle involved,T intersection,84,0.32558139534883723,32.55813953488372
2012–2014,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,1,0.003875968992248062,0.3875968992248062
2012–2014,SMALL_CITIES,Other-vehicle,Not at intersection,740,0.39593365436062067,39.593365436062065
2012–2014,SMALL_CITIES,Other-vehicle,Cross intersection,606,0.32423756019261635,32.42375601926163
2012–2014,SMALL_CITIES,Other-vehicle,T intersection,489,0.26163723916532905,26.163723916532906
2012–2014,SMALL_CITIES,Other-vehicle,Other/Unknown,34,0.01819154628143392,1.8191546281433921
2012–2014,TOWNS,Heavy-vehicle involved,Not at intersection,58,0.4264705882352941,42.64705882352941
2012–2014,TOWNS,Heavy-vehicle involved,Cross intersection,51,0.375,37.5
2012–2014,TOWNS,Heavy-vehicle involved,T intersection,23,0.16911764705882354,16.911764705882355
2012–2014,TOWNS,Heavy-vehicle involved,Other/Unknown,4,0.029411764705882353,2.941176470588235
2012–2014,TOWNS,Other-vehicle,Not at intersection,532,0.4570446735395189,45.70446735395189
2012–2014,TOWNS,Other-vehicle,Cross intersection,321,0.2757731958762887,27.577319587628867
2012–2014,TOWNS,Other-vehicle,T intersection,291,0.25,25
2012–2014,TOWNS,Other-vehicle,Other/Unknown,20,0.01718213058419244,1.718213058419244
2015–2017,MELB_URBAN,Heavy-vehicle involved,Not at intersection,1592,0.3959214125839343,39.59214125839343
2015–2017,MELB_URBAN,Heavy-vehicle involved,Cross intersection,1113,0.27679681671226064,27.679681671226064
2015–2017,MELB_URBAN,Heavy-vehicle involved,T intersection,1204,0.29942800298433225,29.942800298433227
2015–2017,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,112,0.027853767719472768,2.7853767719472766
2015–2017,MELB_URBAN,Other-vehicle,Not at intersection,11308,0.4670218477677281,46.70218477677281
2015–2017,MELB_URBAN,Other-vehicle,Cross intersection,5743,0.23718663527856937,23.718663527856936
2015–2017,MELB_URBAN,Other-vehicle,T intersection,6335,0.2616363110725643,26.16363110725643
2015–2017,MELB_URBAN,Other-vehicle,Other/Unknown,827,0.03415520588113823,3.4155205881138233
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,193,0.6917562724014337,69.17562724014337
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,33,0.11827956989247312,11.827956989247312
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,48,0.17204301075268819,17.20430107526882
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,5,0.017921146953405017,1.7921146953405016
2015–2017,RURAL_VICTORIA,Other-vehicle,Not at intersection,7418,0.7665598842616513,76.65598842616514
2015–2017,RURAL_VICTORIA,Other-vehicle,Cross intersection,836,0.08639041025111088,8.639041025111089
2015–2017,RURAL_VICTORIA,Other-vehicle,T intersection,1255,0.12968895318797147,12.968895318797147
2015–2017,RURAL_VICTORIA,Other-vehicle,Other/Unknown,168,0.017360752299266303,1.7360752299266302
2015–2017,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,88,0.41706161137440756,41.70616113744076
2015–2017,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,69,0.32701421800947866,32.70142180094787
2015–2017,SMALL_CITIES,Heavy-vehicle involved,T intersection,48,0.22748815165876776,22.748815165876778
2015–2017,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,6,0.02843601895734597,2.843601895734597
2015–2017,SMALL_CITIES,Other-vehicle,Not at intersection,905,0.42568203198494825,42.56820319849483
2015–2017,SMALL_CITIES,Other-vehicle,Cross intersection,665,0.312793979303857,31.2793979303857
2015–2017,SMALL_CITIES,Other-vehicle,T intersection,487,0.229068673565381,22.9068673565381
2015–2017,SMALL_CITIES,Other-vehicle,Other/Unknown,69,0.032455315145813735,3.2455315145813737
2015–2017,TOWNS,Heavy-vehicle involved,Not at intersection,58,0.4715447154471545,47.15447154471545
2015–2017,TOWNS,Heavy-vehicle involved,Cross intersection,26,0.21138211382113822,21.138211382113823
2015–2017,TOWNS,Heavy-vehicle involved,T intersection,32,0.2601626016260163,26.01626016260163
2015–2017,TOWNS,Heavy-vehicle involved,Other/Unknown,7,0.056910569105691054,5.691056910569105
2015–2017,TOWNS,Other-vehicle,Not at intersection,592,0.46467817896389324,46.46781789638933
2015–2017,TOWNS,Other-vehicle,Cross intersection,398,0.31240188383045525,31.240188383045524
2015–2017,TOWNS,Other-vehicle,T intersection,265,0.20800627943485087,20.800627943485086
2015–2017,TOWNS,Other-vehicle,Other/Unknown,19,0.014913657770800628,1.4913657770800628
2018–2020,MELB_URBAN,Heavy-vehicle involved,Not at intersection,1524,0.414468316562415,41.4468316562415
2018–2020,MELB_URBAN,Heavy-vehicle involved,Cross intersection,996,0.2708729942888224,27.08729942888224
2018–2020,MELB_URBAN,Heavy-vehicle involved,T intersection,1072,0.2915420179494153,29.15420179494153
2018–2020,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,85,0.023116671199347294,2.3116671199347296
2018–2020,MELB_URBAN,Other-vehicle,Not at intersection,10085,0.47896086626139817,47.89608662613982
2018–2020,MELB_URBAN,Other-vehicle,Cross intersection,5264,0.25,25
2018–2020,MELB_URBAN,Other-vehicle,T intersection,5123,0.24330357142857142,24.330357142857142
2018–2020,MELB_URBAN,Other-vehicle,Other/Unknown,584,0.027735562310030396,2.7735562310030395
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,171,0.7184873949579832,71.84873949579831
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,23,0.09663865546218488,9.663865546218489
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,40,0.16806722689075632,16.80672268907563
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,4,0.01680672268907563,1.680672268907563
2018–2020,RURAL_VICTORIA,Other-vehicle,Not at intersection,6292,0.7432959243945658,74.32959243945658
2018–2020,RURAL_VICTORIA,Other-vehicle,Cross intersection,921,0.10880094506792676,10.880094506792675
2018–2020,RURAL_VICTORIA,Other-vehicle,T intersection,1101,0.13006497341996456,13.006497341996456
2018–2020,RURAL_VICTORIA,Other-vehicle,Other/Unknown,151,0.017838157117542823,1.7838157117542823
2018–2020,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,87,0.35365853658536583,35.36585365853659
2018–2020,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,88,0.35772357723577236,35.77235772357724
2018–2020,SMALL_CITIES,Heavy-vehicle involved,T intersection,62,0.25203252032520324,25.203252032520325
2018–2020,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,9,0.036585365853658534,3.6585365853658534
2018–2020,SMALL_CITIES,Other-vehicle,Not at intersection,814,0.4435967302452316,44.35967302452316
2018–2020,SMALL_CITIES,Other-vehicle,Cross intersection,544,0.2964577656675749,29.645776566757494
2018–2020,SMALL_CITIES,Other-vehicle,T intersection,434,0.23651226158038147,23.651226158038146
2018–2020,SMALL_CITIES,Other-vehicle,Other/Unknown,43,0.023433242506811988,2.343324250681199
2018–2020,TOWNS,Heavy-vehicle involved,Not at intersection,60,0.48,48
2018–2020,TOWNS,Heavy-vehicle involved,Cross intersection,36,0.288,28.799999999999997
2018–2020,TOWNS,Heavy-vehicle involved,T intersection,27,0.216,21.6
2018–2020,TOWNS,Heavy-vehicle involved,Other/Unknown,2,0.016,1.6
2018–2020,TOWNS,Other-vehicle,Not at intersection,526,0.47774750227066304,47.774750227066306
2018–2020,TOWNS,Other-vehicle,Cross intersection,352,0.31970935513169846,31.970935513169845
2018–2020,TOWNS,Other-vehicle,T intersection,198,0.17983651226158037,17.983651226158038
2018–2020,TOWNS,Other-vehicle,Other/Unknown,25,0.022706630336058128,2.2706630336058127
2021–2023,MELB_URBAN,Heavy-vehicle involved,Not at intersection,1776,0.44701736722879437,44.70173672287944
2021–2023,MELB_URBAN,Heavy-vehicle involved,Cross intersection,1074,0.27032469166876416,27.032469166876417
2021–2023,MELB_URBAN,Heavy-vehicle involved,T intersection,1039,0.2615152277875661,26.151522778756608
2021–2023,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,84,0.021142713314875407,2.1142713314875405
2021–2023,MELB_URBAN,Other-vehicle,Not at intersection,11648,0.4977139682946631,49.771396829466305
2021–2023,MELB_URBAN,Other-vehicle,Cross intersection,5547,0.23702089475708243,23.70208947570824
2021–2023,MELB_URBAN,Other-vehicle,T intersection,5555,0.2373627312737683,23.73627312737683
2021–2023,MELB_URBAN,Other-vehicle,Other/Unknown,653,0.027902405674486177,2.7902405674486177
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,201,0.6883561643835616,68.83561643835617
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,38,0.13013698630136986,13.013698630136986
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,45,0.1541095890410959,15.41095890410959
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,8,0.0273972602739726,2.73972602739726
2021–2023,RURAL_VICTORIA,Other-vehicle,Not at intersection,6929,0.7305989034162801,73.059890341628
2021–2023,RURAL_VICTORIA,Other-vehicle,Cross intersection,1089,0.11482496836777731,11.482496836777731
2021–2023,RURAL_VICTORIA,Other-vehicle,T intersection,1244,0.13116828342471532,13.116828342471532
2021–2023,RURAL_VICTORIA,Other-vehicle,Other/Unknown,222,0.02340784479122733,2.3407844791227332
2021–2023,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,110,0.39568345323741005,39.568345323741006
2021–2023,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,107,0.38489208633093525,38.489208633093526
2021–2023,SMALL_CITIES,Heavy-vehicle involved,T intersection,54,0.19424460431654678,19.424460431654676
2021–2023,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,7,0.025179856115107913,2.5179856115107913
2021–2023,SMALL_CITIES,Other-vehicle,Not at intersection,893,0.4416419386745796,44.16419386745796
2021–2023,SMALL_CITIES,Other-vehicle,Cross intersection,641,0.31701285855588524,31.701285855588523
2021–2023,SMALL_CITIES,Other-vehicle,T intersection,444,0.2195845697329377,21.958456973293767
2021–2023,SMALL_CITIES,Other-vehicle,Other/Unknown,44,0.021760633036597428,2.1760633036597428
2021–2023,TOWNS,Heavy-vehicle involved,Not at intersection,71,0.4797297297297297,47.97297297297297
2021–2023,TOWNS,Heavy-vehicle involved,Cross intersection,43,0.2905405405405405,29.054054054054053
2021–2023,TOWNS,Heavy-vehicle involved,T intersection,30,0.20270270270270271,20.27027027027027
2021–2023,TOWNS,Heavy-vehicle involved,Other/Unknown,4,0.02702702702702703,2.7027027027027026
2021–2023,TOWNS,Other-vehicle,Not at intersection,608,0.49230769230769234,49.23076923076923
2021–2023,TOWNS,Other-vehicle,Cross intersection,353,0.28582995951417006,28.582995951417008
2021–2023,TOWNS,Other-vehicle,T intersection,240,0.19433198380566802,19.4331983805668
2021–2023,TOWNS,Other-vehicle,Other/Unknown,34,0.027530364372469637,2.753036437246964
2024–2025,MELB_URBAN,Heavy-vehicle involved,Not at intersection,473,0.43117593436645396,43.11759343664539
2024–2025,MELB_URBAN,Heavy-vehicle involved,Cross intersection,304,0.27711941659070194,27.711941659070195
2024–2025,MELB_URBAN,Heavy-vehicle involved,T intersection,302,0.27529626253418416,27.529626253418414
2024–2025,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,18,0.016408386508659983,1.6408386508659982
2024–2025,MELB_URBAN,Other-vehicle,Not at intersection,2678,0.46493055555555557,46.49305555555556
2024–2025,MELB_URBAN,Other-vehicle,Cross intersection,1529,0.26545138888888886,26.545138888888886
2024–2025,MELB_URBAN,Other-vehicle,T intersection,1472,0.25555555555555554,25.555555555555554
2024–2025,MELB_URBAN,Other-vehicle,Other/Unknown,81,0.0140625,1.40625
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,53,0.6708860759493671,67.08860759493672
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,10,0.12658227848101267,12.658227848101266
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,16,0.20253164556962025,20.253164556962027
2024–2025,RURAL_VICTORIA,Other-vehicle,Not at intersection,1680,0.7115628970775095,71.15628970775096
2024–2025,RURAL_VICTORIA,Other-vehicle,Cross intersection,290,0.1228293096145701,12.28293096145701
2024–2025,RURAL_VICTORIA,Other-vehicle,T intersection,364,0.1541719610334604,15.41719610334604
2024–2025,RURAL_VICTORIA,Other-vehicle,Other/Unknown,27,0.011435832274459974,1.1435832274459974
2024–2025,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,29,0.4084507042253521,40.845070422535215
2024–2025,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,25,0.352112676056338,35.2112676056338
2024–2025,SMALL_CITIES,Heavy-vehicle involved,T intersection,17,0.23943661971830985,23.943661971830984
2024–2025,SMALL_CITIES,Other-vehicle,Not at intersection,195,0.4020618556701031,40.20618556701031
2024–2025,SMALL_CITIES,Other-vehicle,Cross intersection,157,0.3237113402061856,32.371134020618555
2024–2025,SMALL_CITIES,Other-vehicle,T intersection,127,0.2618556701030928,26.18556701030928
2024–2025,SMALL_CITIES,Other-vehicle,Other/Unknown,6,0.012371134020618556,1.2371134020618557
2024–2025,TOWNS,Heavy-vehicle involved,Not at intersection,14,0.3684210526315789,36.84210526315789
2024–2025,TOWNS,Heavy-vehicle involved,Cross intersection,13,0.34210526315789475,34.21052631578947
2024–2025,TOWNS,Heavy-vehicle involved,T intersection,11,0.2894736842105263,28.947368421052634
2024–2025,TOWNS,Other-vehicle,Not at intersection,133,0.4854014598540146,48.54014598540146
2024–2025,TOWNS,Other-vehicle,Cross intersection,93,0.33941605839416056,33.941605839416056
2024–2025,TOWNS,Other-vehicle,T intersection,43,0.15693430656934307,15.693430656934307
2024–2025,TOWNS,Other-vehicle,Other/Unknown,5,0.01824817518248175,1.824817518248175
