period,geo4,hv_group,geom_group,crashes,fatalities,fatal_per_1000
2012–2014,MELB_URBAN,Heavy-vehicle involved,Not at intersection,1482,9,6.0728744939271255
2012–2014,MELB_URBAN,Heavy-vehicle involved,Cross intersection,1167,4,3.427592116538132
2012–2014,MELB_URBAN,Heavy-vehicle involved,T intersection,1460,2,1.36986301369863
2012–2014,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,116,1,8.620689655172415
2012–2014,MELB_URBAN,Other-vehicle,Not at intersection,9488,137,14.43929173693086
2012–2014,MELB_URBAN,Other-vehicle,Cross intersection,6058,44,7.2631231429514695
2012–2014,MELB_URBAN,Other-vehicle,T intersection,6913,75,10.849124837263128
2012–2014,MELB_URBAN,Other-vehicle,Other/Unknown,719,6,8.344923504867872
2012–2014,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,209,14,66.98564593301435
2012–2014,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,38,3,78.94736842105263
2012–2014,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,46,1,21.73913043478261
2012–2014,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,5,1,200
2012–2014,RURAL_VICTORIA,Other-vehicle,Not at intersection,6442,320,49.674014281279106
2012–2014,RURAL_VICTORIA,Other-vehicle,Cross intersection,818,37,45.23227383863081
2012–2014,RURAL_VICTORIA,Other-vehicle,T intersection,1220,37,30.327868852459016
2012–2014,RURAL_VICTORIA,Other-vehicle,Other/Unknown,138,2,14.492753623188406
2012–2014,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,71,2,28.169014084507044
2012–2014,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,102,0,0
2012–2014,SMALL_CITIES,Heavy-vehicle involved,T intersection,84,0,0
2012–2014,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,1,0,0
2012–2014,SMALL_CITIES,Other-vehicle,Not at intersection,740,15,20.27027027027027
2012–2014,SMALL_CITIES,Other-vehicle,Cross intersection,606,3,4.9504950495049505
2012–2014,SMALL_CITIES,Other-vehicle,T intersection,489,3,6.134969325153374
2012–2014,SMALL_CITIES,Other-vehicle,Other/Unknown,34,0,0
2012–2014,TOWNS,Heavy-vehicle involved,Not at intersection,58,1,17.24137931034483
2012–2014,TOWNS,Heavy-vehicle involved,Cross intersection,51,1,19.607843137254903
2012–2014,TOWNS,Heavy-vehicle involved,T intersection,23,0,0
2012–2014,TOWNS,Heavy-vehicle involved,Other/Unknown,4,0,0
2012–2014,TOWNS,Other-vehicle,Not at intersection,532,20,37.59398496240601
2012–2014,TOWNS,Other-vehicle,Cross intersection,321,3,9.345794392523365
2012–2014,TOWNS,Other-vehicle,T intersection,291,6,20.61855670103093
2012–2014,TOWNS,Other-vehicle,Other/Unknown,20,0,0
2015–2017,MELB_URBAN,Heavy-vehicle involved,Not at intersection,1592,13,8.165829145728644
2015–2017,MELB_URBAN,Heavy-vehicle involved,Cross intersection,1113,5,4.492362982929021
2015–2017,MELB_URBAN,Heavy-vehicle involved,T intersection,1204,5,4.152823920265781
2015–2017,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,112,1,8.928571428571429
2015–2017,MELB_URBAN,Other-vehicle,Not at intersection,11308,150,13.264945171559958
2015–2017,MELB_URBAN,Other-vehicle,Cross intersection,5743,46,8.009751001218875
2015–2017,MELB_URBAN,Other-vehicle,T intersection,6335,61,9.62904498816101
2015–2017,MELB_URBAN,Other-vehicle,Other/Unknown,827,5,6.045949214026602
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,193,12,62.17616580310881
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,33,0,0
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,48,3,62.5
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,5,0,0
2015–2017,RURAL_VICTORIA,Other-vehicle,Not at intersection,7418,347,46.77810730655163
2015–2017,RURAL_VICTORIA,Other-vehicle,Cross intersection,836,48,57.41626794258373
2015–2017,RURAL_VICTORIA,Other-vehicle,T intersection,1255,33,26.294820717131476
2015–2017,RURAL_VICTORIA,Other-vehicle,Other/Unknown,168,4,23.80952380952381
2015–2017,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,88,1,11.363636363636363
2015–2017,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,69,0,0
