period,geo4,hv_group,crashes,fatalities,fatal_per_1000,share,share_pct,fatal_share,fatal_share_pct
2012–2014,MELB_URBAN,Heavy-vehicle involved,4225,16,3.78698224852071,0.1541801992482575,15.41801992482575,0.05755395683453238,5.755395683453238
2012–2014,MELB_URBAN,Other-vehicle,23178,262,11.303822590387437,0.8458198007517425,84.58198007517424,0.9424460431654677,94.24460431654677
2012–2014,RURAL_VICTORIA,Heavy-vehicle involved,298,19,63.758389261744966,0.03342305966801256,3.342305966801256,0.04578313253012048,4.578313253012048
2012–2014,RURAL_VICTORIA,Other-vehicle,8618,396,45.95033650498956,0.9665769403319875,96.65769403319875,0.9542168674698795,95.42168674698796
2012–2014,SMALL_CITIES,Heavy-vehicle involved,258,2,7.751937984496124,0.12129760225669958,12.129760225669958,0.08695652173913043,8.695652173913043
2012–2014,SMALL_CITIES,Other-vehicle,1869,21,11.235955056179776,0.8787023977433004,87.87023977433005,0.9130434782608695,91.30434782608695
2012–2014,TOWNS,Heavy-vehicle involved,136,2,14.705882352941176,0.10461538461538461,10.461538461538462,0.06451612903225806,6.451612903225806
2012–2014,TOWNS,Other-vehicle,1164,29,24.914089347079038,0.8953846153846153,89.53846153846153,0.9354838709677419,93.54838709677419
2015–2017,MELB_URBAN,Heavy-vehicle involved,4021,24,5.968664511315593,0.14241694410993838,14.241694410993839,0.08391608391608392,8.391608391608392
2015–2017,MELB_URBAN,Other-vehicle,24213,262,10.820633543963986,0.8575830558900617,85.75830558900617,0.916083916083916,91.6083916083916
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,279,15,53.763440860215056,0.028023302531137002,2.8023302531137,0.03355704697986577,3.3557046979865772
2015–2017,RURAL_VICTORIA,Other-vehicle,9677,432,44.64193448382763,0.971976697468863,97.19766974688629,0.9664429530201343,96.64429530201343
2015–2017,SMALL_CITIES,Heavy-vehicle involved,211,1,4.739336492890995,0.09028669234060761,9.02866923406076,0.034482758620689655,3.4482758620689653
