period,geo4,crashes,fatalities,years,crashes_per_year,fatal_per_1000
2012–2014,MELB_URBAN,27403,278,3,9134.333333333334,10.144874648761084
2012–2014,RURAL_VICTORIA,8916,415,3,2972,46.54553611484971
2012–2014,SMALL_CITIES,2127,23,3,709,10.81335213916314
2012–2014,TOWNS,1300,31,3,433.3333333333333,23.846153846153847
2015–2017,MELB_URBAN,28234,286,3,9411.333333333334,10.129630941418148
2015–2017,RURAL_VICTORIA,9956,447,3,3318.6666666666665,44.89754921655283
2015–2017,SMALL_CITIES,2337,29,3,779,12.409071459135644
2015–2017,TOWNS,1397,21,3,465.6666666666667,15.032211882605583
2018–2020,MELB_URBAN,24733,233,3,8244.333333333334,9.420612137629886
2018–2020,RURAL_VICTORIA,8703,360,3,2901,41.36504653567735
2018–2020,SMALL_CITIES,2081,31,3,693.6666666666666,14.896684286400768
2018–2020,TOWNS,1226,27,3,408.6666666666667,22.02283849918434
2021–2023,MELB_URBAN,27376,264,3,9125.333333333334,9.643483343074225
2021–2023,RURAL_VICTORIA,9776,428,3,3258.6666666666665,43.780687397708675
2021–2023,SMALL_CITIES,2300,28,3,766.6666666666666,12.173913043478262
2021–2023,TOWNS,1383,23,3,461,16.630513376717282
2024–2025,MELB_URBAN,6857,83,2,3428.5,12.104418842059209
2024–2025,RURAL_VICTORIA,2440,105,2,1220,43.032786885245905
2024–2025,SMALL_CITIES,556,11,2,278,19.784172661870503
2024–2025,TOWNS,312,8,2,156,25.641025641025642
