period,geo4,light_cat,crashes,fatalities,fatal_per_1000
2012–2014,MELB_URBAN,Daylight,17308,142,8.204298590247285
2012–2014,MELB_URBAN,Dusk/Dawn,3272,22,6.723716381418093
2012–2014,MELB_URBAN,Dark—Lighted,5313,97,18.257105213626954
2012–2014,MELB_URBAN,Dark—Unlighted,57,2,35.08771929824562
2012–2014,MELB_URBAN,Other/Unknown,1453,15,10.323468685478321
2012–2014,RURAL_VICTORIA,Daylight,6000,253,42.166666666666664
2012–2014,RURAL_VICTORIA,Dusk/Dawn,976,37,37.90983606557377
2012–2014,RURAL_VICTORIA,Dark—Lighted,175,7,40
2012–2014,RURAL_VICTORIA,Dark—Unlighted,13,0,0
2012–2014,RURAL_VICTORIA,Other/Unknown,1752,118,67.35159817351598
2012–2014,SMALL_CITIES,Daylight,1458,12,8.23045267489712
2012–2014,SMALL_CITIES,Dusk/Dawn,223,3,13.452914798206278
2012–2014,SMALL_CITIES,Dark—Lighted,317,2,6.309148264984227
2012–2014,SMALL_CITIES,Dark—Unlighted,8,0,0
2012–2014,SMALL_CITIES,Other/Unknown,121,6,49.586776859504134
2012–2014,TOWNS,Daylight,913,18,19.715224534501644
2012–2014,TOWNS,Dusk/Dawn,129,1,7.751937984496124
2012–2014,TOWNS,Dark—Lighted,165,5,30.303030303030305
2012–2014,TOWNS,Dark—Unlighted,1,1,1000
2012–2014,TOWNS,Other/Unknown,92,6,65.21739130434783
2015–2017,MELB_URBAN,Daylight,18111,141,7.785323836342554
2015–2017,MELB_URBAN,Dusk/Dawn,2629,21,7.98782807151008
2015–2017,MELB_URBAN,Dark—Lighted,5708,100,17.51927119831815
2015–2017,MELB_URBAN,Dark—Unlighted,73,2,27.397260273972602
2015–2017,MELB_URBAN,Other/Unknown,1713,22,12.84296555750146
2015–2017,RURAL_VICTORIA,Daylight,6768,276,40.780141843971634
2015–2017,RURAL_VICTORIA,Dusk/Dawn,889,41,46.11923509561305
2015–2017,RURAL_VICTORIA,Dark—Lighted,256,7,27.34375
2015–2017,RURAL_VICTORIA,Dark—Unlighted,21,0,0
2015–2017,RURAL_VICTORIA,Other/Unknown,2022,123,60.83086053412463
2015–2017,SMALL_CITIES,Daylight,1638,16,9.768009768009769
2015–2017,SMALL_CITIES,Dusk/Dawn,193,1,5.181347150259067
2015–2017,SMALL_CITIES,Dark—Lighted,381,9,23.62204724409449
2015–2017,SMALL_CITIES,Dark—Unlighted,5,2,400
2015–2017,SMALL_CITIES,Other/Unknown,120,1,8.333333333333334
2015–2017,TOWNS,Daylight,996,12,12.048192771084338
2015–2017,TOWNS,Dusk/Dawn,116,1,8.620689655172415
2015–2017,TOWNS,Dark—Lighted,180,3,16.666666666666668
2015–2017,TOWNS,Dark—Unlighted,2,0,0
2015–2017,TOWNS,Other/Unknown,103,5,48.54368932038835
2018–2020,MELB_URBAN,Daylight,16950,129,7.610619469026549
2018–2020,MELB_URBAN,Dusk/Dawn,1459,11,7.539410555174777
2018–2020,MELB_URBAN,Dark—Lighted,4611,81,17.56668835393624
2018–2020,MELB_URBAN,Dark—Unlighted,60,2,33.333333333333336
2018–2020,MELB_URBAN,Other/Unknown,1653,10,6.049606775559589
2018–2020,RURAL_VICTORIA,Daylight,6092,227,37.261982928430726
2018–2020,RURAL_VICTORIA,Dusk/Dawn,513,11,21.44249512670565
2018–2020,RURAL_VICTORIA,Dark—Lighted,286,7,24.475524475524477
