period,geo4,light_cat,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,MELB_URBAN,Daylight,17308,142,8.204298590247285,0.6316096777725067,63.16096777725066
2012–2014,MELB_URBAN,Dusk/Dawn,3272,22,6.723716381418093,0.11940298507462686,11.940298507462686
2012–2014,MELB_URBAN,Dark—Lighted,5313,97,18.257105213626954,0.19388388132686202,19.388388132686202
2012–2014,MELB_URBAN,Dark—Unlighted,57,2,35.08771929824562,0.0020800642265445387,0.20800642265445388
2012–2014,MELB_URBAN,Other/Unknown,1453,15,10.323468685478321,0.053023391599459915,5.3023391599459915
2012–2014,RURAL_VICTORIA,Daylight,6000,253,42.166666666666664,0.6729475100942126,67.29475100942126
2012–2014,RURAL_VICTORIA,Dusk/Dawn,976,37,37.90983606557377,0.1094661283086586,10.94661283086586
2012–2014,RURAL_VICTORIA,Dark—Lighted,175,7,40,0.019627635711081202,1.9627635711081202
2012–2014,RURAL_VICTORIA,Dark—Unlighted,13,0,0,0.0014580529385374607,0.14580529385374608
2012–2014,RURAL_VICTORIA,Other/Unknown,1752,118,67.35159817351598,0.19650067294751009,19.650067294751008
2012–2014,SMALL_CITIES,Daylight,1458,12,8.23045267489712,0.685472496473907,68.5472496473907
2012–2014,SMALL_CITIES,Dusk/Dawn,223,3,13.452914798206278,0.10484250117536437,10.484250117536437
2012–2014,SMALL_CITIES,Dark—Lighted,317,2,6.309148264984227,0.14903620122237893,14.903620122237893
2012–2014,SMALL_CITIES,Dark—Unlighted,8,0,0,0.0037611659614480487,0.37611659614480486
2012–2014,SMALL_CITIES,Other/Unknown,121,6,49.586776859504134,0.05688763516690174,5.688763516690174
2012–2014,TOWNS,Daylight,913,18,19.715224534501644,0.7023076923076923,70.23076923076923
2012–2014,TOWNS,Dusk/Dawn,129,1,7.751937984496124,0.09923076923076923,9.923076923076923
2012–2014,TOWNS,Dark—Lighted,165,5,30.303030303030305,0.12692307692307692,12.692307692307692
2012–2014,TOWNS,Dark—Unlighted,1,1,1000,7.692307692307692e-4,0.07692307692307693
2012–2014,TOWNS,Other/Unknown,92,6,65.21739130434783,0.07076923076923076,7.076923076923077
2015–2017,MELB_URBAN,Daylight,18111,141,7.785323836342554,0.6414606502798045,64.14606502798044
2015–2017,MELB_URBAN,Dusk/Dawn,2629,21,7.98782807151008,0.09311468442303605,9.311468442303605
2015–2017,MELB_URBAN,Dark—Lighted,5708,100,17.51927119831815,0.20216759934830347,20.216759934830346
2015–2017,MELB_URBAN,Dark—Unlighted,73,2,27.397260273972602,0.002585535170361975,0.2585535170361975
2015–2017,MELB_URBAN,Other/Unknown,1713,22,12.84296555750146,0.060671530778494014,6.067153077849401
2015–2017,RURAL_VICTORIA,Daylight,6768,276,40.780141843971634,0.6797910807553235,67.97910807553235
2015–2017,RURAL_VICTORIA,Dusk/Dawn,889,41,46.11923509561305,0.08929288871032544,8.929288871032544
2015–2017,RURAL_VICTORIA,Dark—Lighted,256,7,27.34375,0.02571313780634793,2.571313780634793
2015–2017,RURAL_VICTORIA,Dark—Unlighted,21,0,0,0.002109280835676979,0.21092808356769788
2015–2017,RURAL_VICTORIA,Other/Unknown,2022,123,60.83086053412463,0.20309361189232625,20.309361189232625
2015–2017,SMALL_CITIES,Daylight,1638,16,9.768009768009769,0.7008985879332478,70.08985879332478
2015–2017,SMALL_CITIES,Dusk/Dawn,193,1,5.181347150259067,0.08258451005562688,8.258451005562687
2015–2017,SMALL_CITIES,Dark—Lighted,381,9,23.62204724409449,0.16302952503209242,16.30295250320924
2015–2017,SMALL_CITIES,Dark—Unlighted,5,2,400,0.002139495079161318,0.21394950791613182
2015–2017,SMALL_CITIES,Other/Unknown,120,1,8.333333333333334,0.051347881899871634,5.134788189987163
2015–2017,TOWNS,Daylight,996,12,12.048192771084338,0.7129563350035791,71.29563350035791
2015–2017,TOWNS,Dusk/Dawn,116,1,8.620689655172415,0.08303507516105942,8.303507516105942
2015–2017,TOWNS,Dark—Lighted,180,3,16.666666666666668,0.12884753042233357,12.884753042233358
2015–2017,TOWNS,Dark—Unlighted,2,0,0,0.0014316392269148174,0.14316392269148173
2015–2017,TOWNS,Other/Unknown,103,5,48.54368932038835,0.0737294201861131,7.37294201861131
2018–2020,MELB_URBAN,Daylight,16950,129,7.610619469026549,0.6853192091537622,68.53192091537622
2018–2020,MELB_URBAN,Dusk/Dawn,1459,11,7.539410555174777,0.05899001334249788,5.899001334249788
2018–2020,MELB_URBAN,Dark—Lighted,4611,81,17.56668835393624,0.186431083976873,18.6431083976873
2018–2020,MELB_URBAN,Dark—Unlighted,60,2,33.333333333333336,0.0024259087049690697,0.24259087049690697
2018–2020,MELB_URBAN,Other/Unknown,1653,10,6.049606775559589,0.06683378482189786,6.683378482189786
2018–2020,RURAL_VICTORIA,Daylight,6092,227,37.261982928430726,0.6999885097092956,69.99885097092957
2018–2020,RURAL_VICTORIA,Dusk/Dawn,513,11,21.44249512670565,0.05894519131334023,5.894519131334023
2018–2020,RURAL_VICTORIA,Dark—Lighted,286,7,24.475524475524477,0.03286223141445479,3.286223141445479
2018–2020,RURAL_VICTORIA,Dark—Unlighted,13,0,0,0.0014937377915661266,0.14937377915661265
2018–2020,RURAL_VICTORIA,Other/Unknown,1799,115,63.924402445803224,0.2067103297713432,20.67103297713432
2018–2020,SMALL_CITIES,Daylight,1527,16,10.478061558611657,0.7337818356559347,73.37818356559347
2018–2020,SMALL_CITIES,Dusk/Dawn,108,3,27.77777777777778,0.05189812590100913,5.189812590100913
2018–2020,SMALL_CITIES,Dark—Lighted,333,9,27.027027027027028,0.1600192215281115,16.001922152811147
2018–2020,SMALL_CITIES,Dark—Unlighted,5,0,0,0.002402691013935608,0.2402691013935608
2018–2020,SMALL_CITIES,Other/Unknown,108,3,27.77777777777778,0.05189812590100913,5.189812590100913
2018–2020,TOWNS,Daylight,909,15,16.501650165016503,0.7414355628058727,74.14355628058728
2018–2020,TOWNS,Dusk/Dawn,56,3,53.57142857142857,0.04567699836867863,4.567699836867863
2018–2020,TOWNS,Dark—Lighted,155,7,45.16129032258065,0.1264274061990212,12.64274061990212
2018–2020,TOWNS,Dark—Unlighted,1,0,0,8.156606851549756e-4,0.08156606851549755
2018–2020,TOWNS,Other/Unknown,105,2,19.047619047619047,0.08564437194127243,8.564437194127244
2021–2023,MELB_URBAN,Daylight,17893,148,8.271391046778069,0.6536016949152542,65.36016949152543
2021–2023,MELB_URBAN,Dusk/Dawn,2332,11,4.716981132075472,0.08518410286382233,8.518410286382233
2021–2023,MELB_URBAN,Dark—Lighted,5208,91,17.473118279569892,0.190239625949737,19.0239625949737
2021–2023,MELB_URBAN,Dark—Unlighted,55,1,18.181818181818183,0.0020090590298071304,0.20090590298071304
2021–2023,MELB_URBAN,Other/Unknown,1888,13,6.885593220338983,0.06896551724137931,6.896551724137931
2021–2023,RURAL_VICTORIA,Daylight,6745,286,42.40177909562639,0.689954991816694,68.9954991816694
2021–2023,RURAL_VICTORIA,Dusk/Dawn,767,27,35.202086049543674,0.07845744680851063,7.845744680851063
2021–2023,RURAL_VICTORIA,Dark—Lighted,430,11,25.58139534883721,0.043985270049099835,4.398527004909983
2021–2023,RURAL_VICTORIA,Dark—Unlighted,20,0,0,0.0020458265139116204,0.20458265139116205
2021–2023,RURAL_VICTORIA,Other/Unknown,1814,104,57.33186328555678,0.18555646481178395,18.555646481178396
2021–2023,SMALL_CITIES,Daylight,1616,14,8.663366336633663,0.7026086956521739,70.26086956521739
2021–2023,SMALL_CITIES,Dusk/Dawn,175,4,22.857142857142858,0.07608695652173914,7.608695652173914
2021–2023,SMALL_CITIES,Dark—Lighted,350,5,14.285714285714286,0.15217391304347827,15.217391304347828
2021–2023,SMALL_CITIES,Dark—Unlighted,6,0,0,0.0026086956521739132,0.26086956521739135
2021–2023,SMALL_CITIES,Other/Unknown,153,5,32.6797385620915,0.06652173913043478,6.6521739130434785
2021–2023,TOWNS,Daylight,1023,16,15.640273704789834,0.7396963123644251,73.96963123644251
2021–2023,TOWNS,Dusk/Dawn,89,0,0,0.064352856109906,6.4352856109906
2021–2023,TOWNS,Dark—Lighted,168,4,23.80952380952381,0.12147505422993492,12.147505422993492
2021–2023,TOWNS,Dark—Unlighted,1,0,0,7.230657989877079e-4,0.07230657989877079
2021–2023,TOWNS,Other/Unknown,102,3,29.41176470588235,0.0737527114967462,7.37527114967462
2024–2025,MELB_URBAN,Daylight,4568,40,8.756567425569177,0.6661805454280297,66.61805454280298
2024–2025,MELB_URBAN,Dusk/Dawn,475,6,12.631578947368421,0.06927227650576054,6.927227650576054
2024–2025,MELB_URBAN,Dark—Lighted,1431,31,21.663172606568832,0.20869184774682806,20.869184774682807
2024–2025,MELB_URBAN,Dark—Unlighted,26,0,0,0.0037917456613679452,0.3791745661367945
2024–2025,MELB_URBAN,Other/Unknown,357,6,16.80672268907563,0.05206358465801371,5.206358465801371
2024–2025,RURAL_VICTORIA,Daylight,1651,68,41.18715929739552,0.6766393442622951,67.66393442622952
2024–2025,RURAL_VICTORIA,Dusk/Dawn,173,8,46.24277456647399,0.0709016393442623,7.09016393442623
2024–2025,RURAL_VICTORIA,Dark—Lighted,141,3,21.27659574468085,0.05778688524590164,5.778688524590164
2024–2025,RURAL_VICTORIA,Dark—Unlighted,5,0,0,0.0020491803278688526,0.20491803278688525
2024–2025,RURAL_VICTORIA,Other/Unknown,470,26,55.319148936170215,0.19262295081967212,19.262295081967213
2024–2025,SMALL_CITIES,Daylight,407,9,22.11302211302211,0.7320143884892086,73.20143884892086
2024–2025,SMALL_CITIES,Dusk/Dawn,31,0,0,0.05575539568345324,5.575539568345324
2024–2025,SMALL_CITIES,Dark—Lighted,88,1,11.363636363636363,0.15827338129496402,15.827338129496402
2024–2025,SMALL_CITIES,Dark—Unlighted,1,0,0,0.0017985611510791368,0.1798561151079137
2024–2025,SMALL_CITIES,Other/Unknown,29,1,34.48275862068966,0.052158273381294966,5.215827338129497
2024–2025,TOWNS,Daylight,217,5,23.04147465437788,0.6955128205128205,69.55128205128204
2024–2025,TOWNS,Dusk/Dawn,24,0,0,0.07692307692307693,7.6923076923076925
2024–2025,TOWNS,Dark—Lighted,48,2,41.666666666666664,0.15384615384615385,15.384615384615385
2024–2025,TOWNS,Other/Unknown,23,1,43.47826086956522,0.07371794871794872,7.371794871794872
