period,geo4,mc_group,crashes,fatalities,fatal_per_1000,share,share_pct,fatal_share,fatal_share_pct
2012–2014,MELB_URBAN,Motorcycle-involved,334,5,14.970059880239521,0.012188446520453965,1.2188446520453966,0.017985611510791366,1.7985611510791366
2012–2014,MELB_URBAN,Non-motorcycle,27069,273,10.08533747090768,0.9878115534795461,98.78115534795461,0.9820143884892086,98.20143884892086
2012–2014,RURAL_VICTORIA,Motorcycle-involved,53,4,75.47169811320755,0.005944369672498878,0.5944369672498878,0.00963855421686747,0.9638554216867471
2012–2014,RURAL_VICTORIA,Non-motorcycle,8863,411,46.3725600812366,0.9940556303275011,99.40556303275011,0.9903614457831326,99.03614457831326
2012–2014,SMALL_CITIES,Motorcycle-involved,19,0,0,0.008932769158439116,0.8932769158439116,0,0
2012–2014,SMALL_CITIES,Non-motorcycle,2108,23,10.910815939278937,0.9910672308415609,99.10672308415609,1,100
2012–2014,TOWNS,Motorcycle-involved,10,0,0,0.007692307692307693,0.7692307692307693,0,0
2012–2014,TOWNS,Non-motorcycle,1290,31,24.031007751937985,0.9923076923076923,99.23076923076923,1,100
2015–2017,MELB_URBAN,Motorcycle-involved,313,9,28.75399361022364,0.01108592477155203,1.108592477155203,0.03146853146853147,3.146853146853147
2015–2017,MELB_URBAN,Non-motorcycle,27921,277,9.920848107159486,0.988914075228448,98.8914075228448,0.9685314685314685,96.85314685314685
2015–2017,RURAL_VICTORIA,Motorcycle-involved,53,8,150.9433962264151,0.00532342306147047,0.532342306147047,0.017897091722595078,1.7897091722595078
2015–2017,RURAL_VICTORIA,Non-motorcycle,9903,439,44.33000100979501,0.9946765769385295,99.46765769385296,0.9821029082774049,98.2102908277405
2015–2017,SMALL_CITIES,Motorcycle-involved,22,0,0,0.009413778348309799,0.9413778348309799,0,0
2015–2017,SMALL_CITIES,Non-motorcycle,2315,29,12.526997840172786,0.9905862216516902,99.05862216516901,1,100
2015–2017,TOWNS,Motorcycle-involved,10,1,100,0.0071581961345740875,0.7158196134574087,0.047619047619047616,4.761904761904762
2015–2017,TOWNS,Non-motorcycle,1387,20,14.419610670511895,0.9928418038654259,99.28418038654259,0.9523809523809523,95.23809523809523
2018–2020,MELB_URBAN,Motorcycle-involved,283,8,28.268551236749115,0.011442202725104112,1.1442202725104111,0.034334763948497854,3.4334763948497855
2018–2020,MELB_URBAN,Non-motorcycle,24450,225,9.202453987730062,0.9885577972748959,98.85577972748959,0.9656652360515021,96.56652360515021
2018–2020,RURAL_VICTORIA,Motorcycle-involved,60,4,66.66666666666667,0.006894174422612892,0.6894174422612892,0.011111111111111112,1.1111111111111112
2018–2020,RURAL_VICTORIA,Non-motorcycle,8643,356,41.18940182806896,0.9931058255773871,99.31058255773871,0.9888888888888889,98.88888888888889
2018–2020,SMALL_CITIES,Motorcycle-involved,16,0,0,0.0076886112445939455,0.7688611244593946,0,0
2018–2020,SMALL_CITIES,Non-motorcycle,2065,31,15.012106537530267,0.992311388755406,99.23113887554061,1,100
2018–2020,TOWNS,Motorcycle-involved,12,1,83.33333333333333,0.009787928221859706,0.9787928221859705,0.037037037037037035,3.7037037037037033
2018–2020,TOWNS,Non-motorcycle,1214,26,21.4168039538715,0.9902120717781403,99.02120717781403,0.9629629629629629,96.29629629629629
2021–2023,MELB_URBAN,Motorcycle-involved,320,5,15.625,0.011689070718877849,1.168907071887785,0.01893939393939394,1.893939393939394
2021–2023,MELB_URBAN,Non-motorcycle,27056,259,9.572738024837374,0.9883109292811222,98.83109292811221,0.9810606060606061,98.10606060606061
2021–2023,RURAL_VICTORIA,Motorcycle-involved,50,5,100,0.005114566284779051,0.5114566284779051,0.011682242990654205,1.1682242990654206
2021–2023,RURAL_VICTORIA,Non-motorcycle,9726,423,43.49167180752622,0.994885433715221,99.4885433715221,0.9883177570093458,98.83177570093457
2021–2023,SMALL_CITIES,Motorcycle-involved,23,0,0,0.01,1,0,0
2021–2023,SMALL_CITIES,Non-motorcycle,2277,28,12.296881862099253,0.99,99,1,100
2021–2023,TOWNS,Motorcycle-involved,13,0,0,0.009399855386840203,0.9399855386840202,0,0
2021–2023,TOWNS,Non-motorcycle,1370,23,16.78832116788321,0.9906001446131598,99.06001446131599,1,100
2024–2025,MELB_URBAN,Motorcycle-involved,96,0,0,0.014000291672743182,1.4000291672743181,0,0
2024–2025,MELB_URBAN,Non-motorcycle,6761,83,12.276290489572549,0.9859997083272568,98.59997083272567,1,100
2024–2025,RURAL_VICTORIA,Motorcycle-involved,21,0,0,0.00860655737704918,0.8606557377049181,0,0
2024–2025,RURAL_VICTORIA,Non-motorcycle,2419,105,43.4063662670525,0.9913934426229508,99.13934426229508,1,100
2024–2025,SMALL_CITIES,Motorcycle-involved,8,0,0,0.014388489208633094,1.4388489208633095,0,0
2024–2025,SMALL_CITIES,Non-motorcycle,548,11,20.072992700729927,0.9856115107913669,98.56115107913669,1,100
2024–2025,TOWNS,Motorcycle-involved,9,0,0,0.028846153846153848,2.8846153846153846,0,0
2024–2025,TOWNS,Non-motorcycle,303,8,26.402640264026402,0.9711538461538461,97.11538461538461,1,100
