period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000
2012–2014,MELB_URBAN,Motorcycle-involved,<=60,Not at intersection,67,1,14.925373134328359
2012–2014,MELB_URBAN,Motorcycle-involved,<=60,Cross intersection,70,1,14.285714285714286
2012–2014,MELB_URBAN,Motorcycle-involved,<=60,T intersection,74,2,27.027027027027028
2012–2014,MELB_URBAN,Motorcycle-involved,70–80,Not at intersection,33,1,30.303030303030305
2012–2014,MELB_URBAN,Motorcycle-involved,70–80,Cross intersection,19,0,0
2012–2014,MELB_URBAN,Motorcycle-involved,70–80,T intersection,20,0,0
2012–2014,MELB_URBAN,Motorcycle-involved,>=90,Not at intersection,8,0,0
2012–2014,MELB_URBAN,Motorcycle-involved,>=90,T intersection,1,0,0
2012–2014,MELB_URBAN,Non-motorcycle,<=60,Not at intersection,6438,70,10.872941907424666
2012–2014,MELB_URBAN,Non-motorcycle,<=60,Cross intersection,4925,27,5.482233502538071
2012–2014,MELB_URBAN,Non-motorcycle,<=60,T intersection,5939,47,7.913790200370433
2012–2014,MELB_URBAN,Non-motorcycle,70–80,Not at intersection,2584,52,20.123839009287927
2012–2014,MELB_URBAN,Non-motorcycle,70–80,Cross intersection,1769,20,11.305822498586773
2012–2014,MELB_URBAN,Non-motorcycle,70–80,T intersection,1833,27,14.729950900163667
2012–2014,MELB_URBAN,Non-motorcycle,>=90,Not at intersection,1189,22,18.502943650126156
2012–2014,MELB_URBAN,Non-motorcycle,>=90,Cross intersection,49,0,0
2012–2014,MELB_URBAN,Non-motorcycle,>=90,T intersection,59,0,0
2012–2014,RURAL_VICTORIA,Motorcycle-involved,<=60,Not at intersection,3,0,0
2012–2014,RURAL_VICTORIA,Motorcycle-involved,<=60,T intersection,3,0,0
2012–2014,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,5,2,400
2012–2014,RURAL_VICTORIA,Motorcycle-involved,70–80,Cross intersection,6,0,0
2012–2014,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,3,0,0
2012–2014,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,16,0,0
2012–2014,RURAL_VICTORIA,Motorcycle-involved,>=90,Cross intersection,6,0,0
2012–2014,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,8,1,125
2012–2014,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,487,5,10.26694045174538
2012–2014,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,101,0,0
2012–2014,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,158,1,6.329113924050633
2012–2014,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,1166,37,31.732418524871356
2012–2014,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,245,4,16.3265306122449
2012–2014,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,358,5,13.966480446927374
2012–2014,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,4276,287,67.11880261927034
2012–2014,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,472,36,76.27118644067797
2012–2014,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,631,30,47.543581616481774
2012–2014,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,6,0,0
2012–2014,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,6,0,0
2012–2014,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,6,0,0
2012–2014,SMALL_CITIES,Motorcycle-involved,70–80,T intersection,1,0,0
2012–2014,SMALL_CITIES,Non-motorcycle,<=60,Not at intersection,599,5,8.347245409015025
2012–2014,SMALL_CITIES,Non-motorcycle,<=60,Cross intersection,586,3,5.1194539249146755
2012–2014,SMALL_CITIES,Non-motorcycle,<=60,T intersection,443,2,4.514672686230249
2012–2014,SMALL_CITIES,Non-motorcycle,70–80,Not at intersection,111,4,36.03603603603604
2012–2014,SMALL_CITIES,Non-motorcycle,70–80,Cross intersection,96,0,0
2012–2014,SMALL_CITIES,Non-motorcycle,70–80,T intersection,102,1,9.803921568627452
2012–2014,SMALL_CITIES,Non-motorcycle,>=90,Not at intersection,52,7,134.6153846153846
2012–2014,SMALL_CITIES,Non-motorcycle,>=90,Cross intersection,6,0,0
2012–2014,SMALL_CITIES,Non-motorcycle,>=90,T intersection,6,0,0
2012–2014,TOWNS,Motorcycle-involved,<=60,Not at intersection,4,0,0
2012–2014,TOWNS,Motorcycle-involved,<=60,Cross intersection,4,0,0
2012–2014,TOWNS,Motorcycle-involved,<=60,T intersection,1,0,0
2012–2014,TOWNS,Motorcycle-involved,70–80,T intersection,1,0,0
2012–2014,TOWNS,Non-motorcycle,<=60,Not at intersection,442,11,24.8868778280543
2012–2014,TOWNS,Non-motorcycle,<=60,Cross intersection,335,4,11.940298507462687
2012–2014,TOWNS,Non-motorcycle,<=60,T intersection,227,3,13.215859030837004
2012–2014,TOWNS,Non-motorcycle,70–80,Not at intersection,63,6,95.23809523809524
2012–2014,TOWNS,Non-motorcycle,70–80,Cross intersection,22,0,0
2012–2014,TOWNS,Non-motorcycle,70–80,T intersection,54,1,18.51851851851852
2012–2014,TOWNS,Non-motorcycle,>=90,Not at intersection,56,4,71.42857142857143
2012–2014,TOWNS,Non-motorcycle,>=90,Cross intersection,8,0,0
2012–2014,TOWNS,Non-motorcycle,>=90,T intersection,26,2,76.92307692307692
2015–2017,MELB_URBAN,Motorcycle-involved,<=60,Not at intersection,85,5,58.8235294117647
2015–2017,MELB_URBAN,Motorcycle-involved,<=60,Cross intersection,64,4,62.5
2015–2017,MELB_URBAN,Motorcycle-involved,<=60,T intersection,52,0,0
2015–2017,MELB_URBAN,Motorcycle-involved,70–80,Not at intersection,42,0,0
2015–2017,MELB_URBAN,Motorcycle-involved,70–80,Cross intersection,14,0,0
2015–2017,MELB_URBAN,Motorcycle-involved,70–80,T intersection,15,0,0
2015–2017,MELB_URBAN,Motorcycle-involved,>=90,Not at intersection,8,0,0
2015–2017,MELB_URBAN,Motorcycle-involved,>=90,T intersection,1,0,0
