period,geo4,geom_group,crashes,fatalities,fatal_per_1000
2012–2014,MELB_URBAN,Not at intersection,10970,146,13.309024612579764
2012–2014,MELB_URBAN,Cross intersection,7225,48,6.643598615916955
2012–2014,MELB_URBAN,T intersection,8373,77,9.196225964409411
2012–2014,MELB_URBAN,Other/Unknown,835,7,8.383233532934131
2012–2014,RURAL_VICTORIA,Not at intersection,6651,334,50.21801232897309
2012–2014,RURAL_VICTORIA,Cross intersection,856,40,46.728971962616825
2012–2014,RURAL_VICTORIA,T intersection,1266,38,30.015797788309637
2012–2014,RURAL_VICTORIA,Other/Unknown,143,3,20.97902097902098
2012–2014,SMALL_CITIES,Not at intersection,811,17,20.96177558569667
2012–2014,SMALL_CITIES,Cross intersection,708,3,4.237288135593221
2012–2014,SMALL_CITIES,T intersection,573,3,5.2356020942408374
2012–2014,SMALL_CITIES,Other/Unknown,35,0,0
2012–2014,TOWNS,Not at intersection,590,21,35.59322033898305
2012–2014,TOWNS,Cross intersection,372,4,10.75268817204301
2012–2014,TOWNS,T intersection,314,6,19.10828025477707
2012–2014,TOWNS,Other/Unknown,24,0,0
2015–2017,MELB_URBAN,Not at intersection,12900,163,12.635658914728682
2015–2017,MELB_URBAN,Cross intersection,6856,51,7.438739789964994
2015–2017,MELB_URBAN,T intersection,7539,66,8.754476721050537
2015–2017,MELB_URBAN,Other/Unknown,939,6,6.389776357827476
2015–2017,RURAL_VICTORIA,Not at intersection,7611,359,47.16857180396794
2015–2017,RURAL_VICTORIA,Cross intersection,869,48,55.23590333716916
2015–2017,RURAL_VICTORIA,T intersection,1303,36,27.62854950115119
2015–2017,RURAL_VICTORIA,Other/Unknown,173,4,23.121387283236995
2015–2017,SMALL_CITIES,Not at intersection,993,16,16.112789526686807
2015–2017,SMALL_CITIES,Cross intersection,734,10,13.623978201634877
2015–2017,SMALL_CITIES,T intersection,535,2,3.7383177570093458
2015–2017,SMALL_CITIES,Other/Unknown,75,1,13.333333333333334
2015–2017,TOWNS,Not at intersection,650,15,23.076923076923077
2015–2017,TOWNS,Cross intersection,424,3,7.0754716981132075
2015–2017,TOWNS,T intersection,297,1,3.367003367003367
2015–2017,TOWNS,Other/Unknown,26,2,76.92307692307692
2018–2020,MELB_URBAN,Not at intersection,11609,127,10.939788095443191
2018–2020,MELB_URBAN,Cross intersection,6260,45,7.18849840255591
2018–2020,MELB_URBAN,T intersection,6195,56,9.03954802259887
2018–2020,MELB_URBAN,Other/Unknown,669,5,7.473841554559043
2018–2020,RURAL_VICTORIA,Not at intersection,6463,299,46.263345195729535
2018–2020,RURAL_VICTORIA,Cross intersection,944,34,36.016949152542374
2018–2020,RURAL_VICTORIA,T intersection,1141,23,20.15775635407537
2018–2020,RURAL_VICTORIA,Other/Unknown,155,4,25.806451612903224
2018–2020,SMALL_CITIES,Not at intersection,901,20,22.197558268590456
2018–2020,SMALL_CITIES,Cross intersection,632,4,6.329113924050633
2018–2020,SMALL_CITIES,T intersection,496,7,14.112903225806452
2018–2020,SMALL_CITIES,Other/Unknown,52,0,0
2018–2020,TOWNS,Not at intersection,586,16,27.303754266211605
2018–2020,TOWNS,Cross intersection,388,6,15.463917525773196
2018–2020,TOWNS,T intersection,225,5,22.22222222222222
2018–2020,TOWNS,Other/Unknown,27,0,0
2021–2023,MELB_URBAN,Not at intersection,13424,138,10.280095351609058
2021–2023,MELB_URBAN,Cross intersection,6621,59,8.911040628303882
2021–2023,MELB_URBAN,T intersection,6594,62,9.402487109493478
2021–2023,MELB_URBAN,Other/Unknown,737,5,6.784260515603799
2021–2023,RURAL_VICTORIA,Not at intersection,7130,324,45.44179523141655
2021–2023,RURAL_VICTORIA,Cross intersection,1127,58,51.464063886424135
2021–2023,RURAL_VICTORIA,T intersection,1289,41,31.807602792862685
2021–2023,RURAL_VICTORIA,Other/Unknown,230,5,21.73913043478261
2021–2023,SMALL_CITIES,Not at intersection,1003,21,20.937188434695912
2021–2023,SMALL_CITIES,Cross intersection,748,3,4.0106951871657754
2021–2023,SMALL_CITIES,T intersection,498,4,8.032128514056225
2021–2023,SMALL_CITIES,Other/Unknown,51,0,0
2021–2023,TOWNS,Not at intersection,679,7,10.309278350515465
2021–2023,TOWNS,Cross intersection,396,7,17.67676767676768
2021–2023,TOWNS,T intersection,270,9,33.333333333333336
2021–2023,TOWNS,Other/Unknown,38,0,0
2024–2025,MELB_URBAN,Not at intersection,3151,45,14.281180577594414
2024–2025,MELB_URBAN,Cross intersection,1833,15,8.183306055646481
2024–2025,MELB_URBAN,T intersection,1774,23,12.965050732807216
2024–2025,MELB_URBAN,Other/Unknown,99,0,0
2024–2025,RURAL_VICTORIA,Not at intersection,1733,91,52.510098095787654
2024–2025,RURAL_VICTORIA,Cross intersection,300,9,30
2024–2025,RURAL_VICTORIA,T intersection,380,5,13.157894736842104
2024–2025,RURAL_VICTORIA,Other/Unknown,27,0,0
2024–2025,SMALL_CITIES,Not at intersection,224,7,31.25
2024–2025,SMALL_CITIES,Cross intersection,182,2,10.989010989010989
2024–2025,SMALL_CITIES,T intersection,144,1,6.944444444444445
2024–2025,SMALL_CITIES,Other/Unknown,6,1,166.66666666666666
2024–2025,TOWNS,Not at intersection,147,4,27.210884353741495
2024–2025,TOWNS,Cross intersection,106,1,9.433962264150944
2024–2025,TOWNS,T intersection,54,3,55.55555555555556
2024–2025,TOWNS,Other/Unknown,5,0,0
