period,geo4,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,MELB_URBAN,Not at intersection,10970,146,13.309024612579764,0.4003211327226946,40.03211327226946
2012–2014,MELB_URBAN,Cross intersection,7225,48,6.643598615916955,0.26365726380323323,26.365726380323323
2012–2014,MELB_URBAN,T intersection,8373,77,9.196225964409411,0.30555048717293726,30.555048717293726
2012–2014,MELB_URBAN,Other/Unknown,835,7,8.383233532934131,0.03047111630113491,3.0471116301134913
2012–2014,RURAL_VICTORIA,Not at intersection,6651,334,50.21801232897309,0.7459623149394348,74.59623149394348
2012–2014,RURAL_VICTORIA,Cross intersection,856,40,46.728971962616825,0.09600717810677434,9.600717810677434
2012–2014,RURAL_VICTORIA,T intersection,1266,38,30.015797788309637,0.14199192462987886,14.199192462987886
2012–2014,RURAL_VICTORIA,Other/Unknown,143,3,20.97902097902098,0.01603858232391207,1.603858232391207
2012–2014,SMALL_CITIES,Not at intersection,811,17,20.96177558569667,0.381288199341796,38.128819934179596
2012–2014,SMALL_CITIES,Cross intersection,708,3,4.237288135593221,0.3328631875881523,33.286318758815234
2012–2014,SMALL_CITIES,T intersection,573,3,5.2356020942408374,0.2693935119887165,26.939351198871652
2012–2014,SMALL_CITIES,Other/Unknown,35,0,0,0.016455101081335213,1.6455101081335213
2012–2014,TOWNS,Not at intersection,590,21,35.59322033898305,0.45384615384615384,45.38461538461539
2012–2014,TOWNS,Cross intersection,372,4,10.75268817204301,0.28615384615384615,28.615384615384613
2012–2014,TOWNS,T intersection,314,6,19.10828025477707,0.24153846153846154,24.153846153846153
2012–2014,TOWNS,Other/Unknown,24,0,0,0.018461538461538463,1.8461538461538463
2015–2017,MELB_URBAN,Not at intersection,12900,163,12.635658914728682,0.4568959410639654,45.68959410639654
2015–2017,MELB_URBAN,Cross intersection,6856,51,7.438739789964994,0.2428277962739959,24.282779627399588
2015–2017,MELB_URBAN,T intersection,7539,66,8.754476721050537,0.26701848834738257,26.701848834738257
2015–2017,MELB_URBAN,Other/Unknown,939,6,6.389776357827476,0.03325777431465609,3.325777431465609
2015–2017,RURAL_VICTORIA,Not at intersection,7611,359,47.16857180396794,0.7644636400160707,76.44636400160707
2015–2017,RURAL_VICTORIA,Cross intersection,869,48,55.23590333716916,0.0872840498192045,8.72840498192045
2015–2017,RURAL_VICTORIA,T intersection,1303,36,27.62854950115119,0.13087585375652871,13.087585375652871
2015–2017,RURAL_VICTORIA,Other/Unknown,173,4,23.121387283236995,0.017376456408196062,1.7376456408196062
2015–2017,SMALL_CITIES,Not at intersection,993,16,16.112789526686807,0.4249037227214377,42.49037227214377
2015–2017,SMALL_CITIES,Cross intersection,734,10,13.623978201634877,0.31407787762088146,31.407787762088148
2015–2017,SMALL_CITIES,T intersection,535,2,3.7383177570093458,0.22892597347026103,22.892597347026104
2015–2017,SMALL_CITIES,Other/Unknown,75,1,13.333333333333334,0.03209242618741977,3.209242618741977
2015–2017,TOWNS,Not at intersection,650,15,23.076923076923077,0.4652827487473157,46.528274874731565
2015–2017,TOWNS,Cross intersection,424,3,7.0754716981132075,0.3035075161059413,30.35075161059413
2015–2017,TOWNS,T intersection,297,1,3.367003367003367,0.2125984251968504,21.25984251968504
2015–2017,TOWNS,Other/Unknown,26,2,76.92307692307692,0.018611309949892626,1.8611309949892625
2018–2020,MELB_URBAN,Not at intersection,11609,127,10.939788095443191,0.4693729025997655,46.93729025997655
2018–2020,MELB_URBAN,Cross intersection,6260,45,7.18849840255591,0.25310314155177294,25.310314155177295
2018–2020,MELB_URBAN,T intersection,6195,56,9.03954802259887,0.25047507378805645,25.047507378805644
2018–2020,MELB_URBAN,Other/Unknown,669,5,7.473841554559043,0.027048882060405125,2.7048882060405126
2018–2020,RURAL_VICTORIA,Not at intersection,6463,299,46.263345195729535,0.742617488222452,74.2617488222452
2018–2020,RURAL_VICTORIA,Cross intersection,944,34,36.016949152542374,0.1084683442491095,10.84683442491095
