period,geo4,surface_cat,crashes,fatalities,fatal_per_1000
2012–2014,MELB_URBAN,Dry,21232,242,11.397889977392614
2012–2014,MELB_URBAN,Wet,4363,36,8.25120330048132
2012–2014,MELB_URBAN,Loose/Gravel,17,0,0
2012–2014,MELB_URBAN,Snow/Ice,27,0,0
2012–2014,MELB_URBAN,Oil/Mud/Debris,34,0,0
2012–2014,MELB_URBAN,Other/Unknown,1788,0,0
2012–2014,RURAL_VICTORIA,Dry,6689,348,52.02571385857378
2012–2014,RURAL_VICTORIA,Wet,1684,60,35.62945368171022
2012–2014,RURAL_VICTORIA,Loose/Gravel,8,0,0
2012–2014,RURAL_VICTORIA,Snow/Ice,228,2,8.771929824561404
2012–2014,RURAL_VICTORIA,Oil/Mud/Debris,77,2,25.974025974025974
2012–2014,RURAL_VICTORIA,Other/Unknown,400,7,17.5
2012–2014,SMALL_CITIES,Dry,1761,19,10.789324247586599
2012–2014,SMALL_CITIES,Wet,293,4,13.651877133105803
2012–2014,SMALL_CITIES,Loose/Gravel,2,0,0
2012–2014,SMALL_CITIES,Snow/Ice,1,0,0
2012–2014,SMALL_CITIES,Oil/Mud/Debris,2,0,0
2012–2014,SMALL_CITIES,Other/Unknown,71,0,0
2012–2014,TOWNS,Dry,1057,26,24.597918637653738
2012–2014,TOWNS,Wet,212,5,23.58490566037736
2012–2014,TOWNS,Snow/Ice,4,0,0
2012–2014,TOWNS,Oil/Mud/Debris,4,0,0
2012–2014,TOWNS,Other/Unknown,28,0,0
2015–2017,MELB_URBAN,Dry,22208,250,11.257204610951009
2015–2017,MELB_URBAN,Wet,4077,35,8.584743684081433
2015–2017,MELB_URBAN,Loose/Gravel,9,0,0
2015–2017,MELB_URBAN,Snow/Ice,21,0,0
2015–2017,MELB_URBAN,Oil/Mud/Debris,49,1,20.408163265306122
2015–2017,MELB_URBAN,Other/Unknown,1929,0,0
2015–2017,RURAL_VICTORIA,Dry,7419,367,49.467583232241545
2015–2017,RURAL_VICTORIA,Wet,1899,66,34.75513428120063
2015–2017,RURAL_VICTORIA,Loose/Gravel,8,0,0
2015–2017,RURAL_VICTORIA,Snow/Ice,240,4,16.666666666666668
2015–2017,RURAL_VICTORIA,Oil/Mud/Debris,91,4,43.956043956043956
2015–2017,RURAL_VICTORIA,Other/Unknown,490,11,22.448979591836736
2015–2017,SMALL_CITIES,Dry,1972,24,12.170385395537526
2015–2017,SMALL_CITIES,Wet,291,5,17.18213058419244
2015–2017,SMALL_CITIES,Loose/Gravel,1,0,0
2015–2017,SMALL_CITIES,Snow/Ice,3,1,333.3333333333333
2015–2017,SMALL_CITIES,Oil/Mud/Debris,4,0,0
2015–2017,SMALL_CITIES,Other/Unknown,73,0,0
2015–2017,TOWNS,Dry,1134,15,13.227513227513228
2015–2017,TOWNS,Wet,228,6,26.31578947368421
2015–2017,TOWNS,Snow/Ice,5,0,0
2015–2017,TOWNS,Oil/Mud/Debris,6,0,0
2015–2017,TOWNS,Other/Unknown,35,0,0
2018–2020,MELB_URBAN,Dry,19854,209,10.526845975622042
2018–2020,MELB_URBAN,Wet,3100,22,7.096774193548387
2018–2020,MELB_URBAN,Loose/Gravel,4,0,0
2018–2020,MELB_URBAN,Snow/Ice,18,0,0
2018–2020,MELB_URBAN,Oil/Mud/Debris,45,1,22.22222222222222
2018–2020,MELB_URBAN,Other/Unknown,1752,2,1.1415525114155252
2018–2020,RURAL_VICTORIA,Dry,6726,308,45.792447219744275
2018–2020,RURAL_VICTORIA,Wet,1474,43,29.17232021709634
2018–2020,RURAL_VICTORIA,Loose/Gravel,11,1,90.9090909090909
2018–2020,RURAL_VICTORIA,Snow/Ice,156,3,19.23076923076923
2018–2020,RURAL_VICTORIA,Oil/Mud/Debris,61,2,32.78688524590164
2018–2020,RURAL_VICTORIA,Other/Unknown,401,6,14.962593516209477
2018–2020,SMALL_CITIES,Dry,1766,26,14.722536806342015
2018–2020,SMALL_CITIES,Wet,232,3,12.931034482758621
2018–2020,SMALL_CITIES,Loose/Gravel,1,0,0
2018–2020,SMALL_CITIES,Snow/Ice,3,0,0
2018–2020,SMALL_CITIES,Oil/Mud/Debris,8,0,0
2018–2020,SMALL_CITIES,Other/Unknown,76,2,26.31578947368421
2018–2020,TOWNS,Dry,1025,19,18.536585365853657
2018–2020,TOWNS,Wet,155,8,51.61290322580645
2018–2020,TOWNS,Loose/Gravel,1,0,0
2018–2020,TOWNS,Snow/Ice,2,0,0
2018–2020,TOWNS,Oil/Mud/Debris,1,0,0
2018–2020,TOWNS,Other/Unknown,45,0,0
2021–2023,MELB_URBAN,Dry,21318,226,10.60136973449667
2021–2023,MELB_URBAN,Wet,3767,36,9.556676400318556
2021–2023,MELB_URBAN,Loose/Gravel,6,0,0
2021–2023,MELB_URBAN,Snow/Ice,17,0,0
2021–2023,MELB_URBAN,Oil/Mud/Debris,64,1,15.625
2021–2023,MELB_URBAN,Other/Unknown,2264,1,0.4416961130742049
2021–2023,RURAL_VICTORIA,Dry,7255,355,48.93177119228118
2021–2023,RURAL_VICTORIA,Wet,1840,62,33.69565217391305
2021–2023,RURAL_VICTORIA,Loose/Gravel,7,0,0
2021–2023,RURAL_VICTORIA,Snow/Ice,243,4,16.46090534979424
2021–2023,RURAL_VICTORIA,Oil/Mud/Debris,48,4,83.33333333333333
2021–2023,RURAL_VICTORIA,Other/Unknown,554,8,14.440433212996389
2021–2023,SMALL_CITIES,Dry,1916,22,11.482254697286013
2021–2023,SMALL_CITIES,Wet,298,6,20.13422818791946
2021–2023,SMALL_CITIES,Loose/Gravel,1,0,0
2021–2023,SMALL_CITIES,Oil/Mud/Debris,3,0,0
2021–2023,SMALL_CITIES,Other/Unknown,89,0,0
2021–2023,TOWNS,Dry,1098,17,15.482695810564662
2021–2023,TOWNS,Wet,220,5,22.727272727272727
2021–2023,TOWNS,Snow/Ice,2,0,0
2021–2023,TOWNS,Oil/Mud/Debris,3,0,0
2021–2023,TOWNS,Other/Unknown,66,1,15.151515151515152
2024–2025,MELB_URBAN,Dry,5462,73,13.365067740754302
2024–2025,MELB_URBAN,Wet,777,8,10.296010296010296
2024–2025,MELB_URBAN,Loose/Gravel,2,0,0
2024–2025,MELB_URBAN,Snow/Ice,5,0,0
2024–2025,MELB_URBAN,Oil/Mud/Debris,11,0,0
2024–2025,MELB_URBAN,Other/Unknown,614,2,3.257328990228013
2024–2025,RURAL_VICTORIA,Dry,1846,91,49.29577464788732
2024–2025,RURAL_VICTORIA,Wet,371,11,29.649595687331537
2024–2025,RURAL_VICTORIA,Loose/Gravel,3,0,0
2024–2025,RURAL_VICTORIA,Snow/Ice,43,1,23.25581395348837
2024–2025,RURAL_VICTORIA,Oil/Mud/Debris,19,0,0
2024–2025,RURAL_VICTORIA,Other/Unknown,185,2,10.81081081081081
2024–2025,SMALL_CITIES,Dry,470,9,19.148936170212767
2024–2025,SMALL_CITIES,Wet,51,1,19.607843137254903
2024–2025,SMALL_CITIES,Oil/Mud/Debris,1,0,0
2024–2025,SMALL_CITIES,Other/Unknown,34,1,29.41176470588235
2024–2025,TOWNS,Dry,256,6,23.4375
2024–2025,TOWNS,Wet,40,2,50
2024–2025,TOWNS,Snow/Ice,1,0,0
2024–2025,TOWNS,Oil/Mud/Debris,3,0,0
2024–2025,TOWNS,Other/Unknown,15,0,0
