period,geo4,speed_bucket,crashes,share,share_pct
2012–2014,MELB_URBAN,<=60,18033,0.6975475785239053,69.75475785239053
2012–2014,MELB_URBAN,70–80,6492,0.2511217700758162,25.11217700758162
2012–2014,MELB_URBAN,>=90,1327,0.05133065140027851,5.133065140027851
2012–2014,RURAL_VICTORIA,<=60,766,0.09504901352525127,9.504901352525128
2012–2014,RURAL_VICTORIA,70–80,1825,0.22645489514828143,22.645489514828142
2012–2014,RURAL_VICTORIA,>=90,5468,0.6784960913264673,67.84960913264672
2012–2014,SMALL_CITIES,<=60,1676,0.8163662932294203,81.63662932294203
2012–2014,SMALL_CITIES,70–80,311,0.15148563078421823,15.148563078421823
2012–2014,SMALL_CITIES,>=90,66,0.03214807598636142,3.214807598636142
2012–2014,TOWNS,<=60,1031,0.8143759873617693,81.43759873617694
2012–2014,TOWNS,70–80,144,0.11374407582938388,11.374407582938389
2012–2014,TOWNS,>=90,91,0.07187993680884676,7.187993680884676
2015–2017,MELB_URBAN,<=60,18391,0.6946290980510651,69.4629098051065
2015–2017,MELB_URBAN,70–80,6517,0.24614745429823237,24.614745429823238
2015–2017,MELB_URBAN,>=90,1568,0.059223447650702525,5.922344765070252
2015–2017,RURAL_VICTORIA,<=60,1034,0.1161928306551298,11.61928306551298
2015–2017,RURAL_VICTORIA,70–80,2191,0.24620743903809417,24.620743903809416
2015–2017,RURAL_VICTORIA,>=90,5674,0.6375997303067761,63.75997303067761
2015–2017,SMALL_CITIES,<=60,1956,0.8662533215234721,86.62533215234721
2015–2017,SMALL_CITIES,70–80,241,0.10673162090345438,10.673162090345437
2015–2017,SMALL_CITIES,>=90,61,0.027015057573073518,2.701505757307352
2015–2017,TOWNS,<=60,1122,0.8268238761974944,82.68238761974945
2015–2017,TOWNS,70–80,156,0.11495946941783346,11.495946941783346
2015–2017,TOWNS,>=90,79,0.05821665438467207,5.821665438467207
2018–2020,MELB_URBAN,<=60,16014,0.7028616573033708,70.28616573033707
2018–2020,MELB_URBAN,70–80,5609,0.2461815308988764,24.61815308988764
2018–2020,MELB_URBAN,>=90,1161,0.050956811797752806,5.095681179775281
2018–2020,RURAL_VICTORIA,<=60,1230,0.1547364448358284,15.473644483582842
2018–2020,RURAL_VICTORIA,70–80,2127,0.26758082777707887,26.758082777707887
2018–2020,RURAL_VICTORIA,>=90,4592,0.5776827273870927,57.76827273870927
2018–2020,SMALL_CITIES,<=60,1713,0.8582164328657315,85.82164328657315
2018–2020,SMALL_CITIES,70–80,232,0.11623246492985972,11.623246492985972
2018–2020,SMALL_CITIES,>=90,51,0.02555110220440882,2.555110220440882
2018–2020,TOWNS,<=60,993,0.8372681281618887,83.72681281618887
2018–2020,TOWNS,70–80,141,0.11888701517706576,11.888701517706576
2018–2020,TOWNS,>=90,52,0.04384485666104553,4.3844856661045535
2021–2023,MELB_URBAN,<=60,17233,0.6859997611560049,68.5999761156005
2021–2023,MELB_URBAN,70–80,6554,0.26089725727479,26.089725727479003
2021–2023,MELB_URBAN,>=90,1334,0.053102981569205045,5.3102981569205046
2021–2023,RURAL_VICTORIA,<=60,1723,0.19541794261086537,19.541794261086537
2021–2023,RURAL_VICTORIA,70–80,2460,0.2790064647839401,27.90064647839401
2021–2023,RURAL_VICTORIA,>=90,4634,0.5255755926051945,52.55755926051945
2021–2023,SMALL_CITIES,<=60,1866,0.8470267816613709,84.70267816613709
2021–2023,SMALL_CITIES,70–80,270,0.12256014525646845,12.256014525646846
2021–2023,SMALL_CITIES,>=90,67,0.03041307308216069,3.041307308216069
2021–2023,TOWNS,<=60,1126,0.8523845571536715,85.23845571536714
2021–2023,TOWNS,70–80,156,0.11809235427706283,11.809235427706282
2021–2023,TOWNS,>=90,39,0.029523088569265707,2.9523088569265705
2024–2025,MELB_URBAN,<=60,4258,0.685889175257732,68.5889175257732
2024–2025,MELB_URBAN,70–80,1555,0.2504832474226804,25.04832474226804
2024–2025,MELB_URBAN,>=90,395,0.06362757731958762,6.362757731958762
2024–2025,RURAL_VICTORIA,<=60,478,0.22139879573876795,22.139879573876794
2024–2025,RURAL_VICTORIA,70–80,622,0.2880963408985642,28.809634089856416
2024–2025,RURAL_VICTORIA,>=90,1059,0.4905048633626679,49.05048633626679
2024–2025,SMALL_CITIES,<=60,441,0.8448275862068966,84.48275862068965
2024–2025,SMALL_CITIES,70–80,71,0.1360153256704981,13.601532567049809
2024–2025,SMALL_CITIES,>=90,10,0.019157088122605363,1.9157088122605364
2024–2025,TOWNS,<=60,247,0.8401360544217688,84.01360544217688
2024–2025,TOWNS,70–80,34,0.11564625850340136,11.564625850340136
2024–2025,TOWNS,>=90,13,0.04421768707482993,4.421768707482993
