period,geo4,speed_bucket,crashes,fatalities,fatal_per_1000
2012–2014,MELB_URBAN,<=60,18033,150,8.318083513558475
2012–2014,MELB_URBAN,70–80,6492,104,16.019716574245226
2012–2014,MELB_URBAN,>=90,1327,23,17.33232856066315
2012–2014,RURAL_VICTORIA,<=60,766,6,7.83289817232376
2012–2014,RURAL_VICTORIA,70–80,1825,48,26.301369863013697
2012–2014,RURAL_VICTORIA,>=90,5468,357,65.28895391367959
2012–2014,SMALL_CITIES,<=60,1676,10,5.966587112171838
2012–2014,SMALL_CITIES,70–80,311,5,16.077170418006432
2012–2014,SMALL_CITIES,>=90,66,7,106.06060606060606
2012–2014,TOWNS,<=60,1031,18,17.458777885548013
2012–2014,TOWNS,70–80,144,7,48.611111111111114
2012–2014,TOWNS,>=90,91,6,65.93406593406593
2015–2017,MELB_URBAN,<=60,18391,171,9.298026208471535
2015–2017,MELB_URBAN,70–80,6517,88,13.503145619149915
2015–2017,MELB_URBAN,>=90,1568,22,14.03061224489796
2015–2017,RURAL_VICTORIA,<=60,1034,15,14.506769825918763
2015–2017,RURAL_VICTORIA,70–80,2191,60,27.38475581926061
2015–2017,RURAL_VICTORIA,>=90,5674,366,64.50475854776172
2015–2017,SMALL_CITIES,<=60,1956,21,10.736196319018404
2015–2017,SMALL_CITIES,70–80,241,6,24.896265560165975
2015–2017,SMALL_CITIES,>=90,61,1,16.39344262295082
2015–2017,TOWNS,<=60,1122,8,7.1301247771836005
2015–2017,TOWNS,70–80,156,6,38.46153846153846
2015–2017,TOWNS,>=90,79,6,75.9493670886076
2018–2020,MELB_URBAN,<=60,16014,132,8.242787560884226
2018–2020,MELB_URBAN,70–80,5609,83,14.797646639329649
2018–2020,MELB_URBAN,>=90,1161,13,11.19724375538329
2018–2020,RURAL_VICTORIA,<=60,1230,19,15.447154471544716
2018–2020,RURAL_VICTORIA,70–80,2127,56,26.328161730136344
2018–2020,RURAL_VICTORIA,>=90,4592,278,60.54006968641115
2018–2020,SMALL_CITIES,<=60,1713,24,14.010507880910684
2018–2020,SMALL_CITIES,70–80,232,5,21.551724137931036
2018–2020,SMALL_CITIES,>=90,51,2,39.21568627450981
2018–2020,TOWNS,<=60,993,22,22.15508559919436
2018–2020,TOWNS,70–80,141,3,21.27659574468085
2018–2020,TOWNS,>=90,52,1,19.23076923076923
2021–2023,MELB_URBAN,<=60,17233,155,8.994371264434514
2021–2023,MELB_URBAN,70–80,6554,93,14.189807750991761
2021–2023,MELB_URBAN,>=90,1334,13,9.745127436281859
2021–2023,RURAL_VICTORIA,<=60,1723,39,22.634939059779455
2021–2023,RURAL_VICTORIA,70–80,2460,70,28.45528455284553
2021–2023,RURAL_VICTORIA,>=90,4634,310,66.89684937419077
2021–2023,SMALL_CITIES,<=60,1866,14,7.502679528403001
2021–2023,SMALL_CITIES,70–80,270,12,44.44444444444444
2021–2023,SMALL_CITIES,>=90,67,2,29.850746268656717
2021–2023,TOWNS,<=60,1126,13,11.545293072824157
2021–2023,TOWNS,70–80,156,8,51.282051282051285
2021–2023,TOWNS,>=90,39,1,25.641025641025642
2024–2025,MELB_URBAN,<=60,4258,55,12.916862376702678
2024–2025,MELB_URBAN,70–80,1555,25,16.077170418006432
2024–2025,MELB_URBAN,>=90,395,1,2.5316455696202533
2024–2025,RURAL_VICTORIA,<=60,478,9,18.828451882845187
2024–2025,RURAL_VICTORIA,70–80,622,15,24.115755627009648
2024–2025,RURAL_VICTORIA,>=90,1059,78,73.65439093484419
2024–2025,SMALL_CITIES,<=60,441,7,15.873015873015873
2024–2025,SMALL_CITIES,70–80,71,3,42.25352112676056
2024–2025,SMALL_CITIES,>=90,10,0,0
2024–2025,TOWNS,<=60,247,5,20.242914979757085
2024–2025,TOWNS,70–80,34,0,0
2024–2025,TOWNS,>=90,13,2,153.84615384615384
