period,geo4,speed_bucket,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,MELB_URBAN,<=60,18033,150,8.318083513558475,0.6975475785239053,69.75475785239053
2012–2014,MELB_URBAN,70–80,6492,104,16.019716574245226,0.2511217700758162,25.11217700758162
2012–2014,MELB_URBAN,>=90,1327,23,17.33232856066315,0.05133065140027851,5.133065140027851
2012–2014,RURAL_VICTORIA,<=60,766,6,7.83289817232376,0.09504901352525127,9.504901352525128
2012–2014,RURAL_VICTORIA,70–80,1825,48,26.301369863013697,0.22645489514828143,22.645489514828142
2012–2014,RURAL_VICTORIA,>=90,5468,357,65.28895391367959,0.6784960913264673,67.84960913264672
2012–2014,SMALL_CITIES,<=60,1676,10,5.966587112171838,0.8163662932294203,81.63662932294203
2012–2014,SMALL_CITIES,70–80,311,5,16.077170418006432,0.15148563078421823,15.148563078421823
2012–2014,SMALL_CITIES,>=90,66,7,106.06060606060606,0.03214807598636142,3.214807598636142
2012–2014,TOWNS,<=60,1031,18,17.458777885548013,0.8143759873617693,81.43759873617694
2012–2014,TOWNS,70–80,144,7,48.611111111111114,0.11374407582938388,11.374407582938389
2012–2014,TOWNS,>=90,91,6,65.93406593406593,0.07187993680884676,7.187993680884676
2015–2017,MELB_URBAN,<=60,18391,171,9.298026208471535,0.6946290980510651,69.4629098051065
2015–2017,MELB_URBAN,70–80,6517,88,13.503145619149915,0.24614745429823237,24.614745429823238
2015–2017,MELB_URBAN,>=90,1568,22,14.03061224489796,0.059223447650702525,5.922344765070252
2015–2017,RURAL_VICTORIA,<=60,1034,15,14.506769825918763,0.1161928306551298,11.61928306551298
2015–2017,RURAL_VICTORIA,70–80,2191,60,27.38475581926061,0.24620743903809417,24.620743903809416
2015–2017,RURAL_VICTORIA,>=90,5674,366,64.50475854776172,0.6375997303067761,63.75997303067761
2015–2017,SMALL_CITIES,<=60,1956,21,10.736196319018404,0.8662533215234721,86.62533215234721
2015–2017,SMALL_CITIES,70–80,241,6,24.896265560165975,0.10673162090345438,10.673162090345437
2015–2017,SMALL_CITIES,>=90,61,1,16.39344262295082,0.027015057573073518,2.701505757307352
2015–2017,TOWNS,<=60,1122,8,7.1301247771836005,0.8268238761974944,82.68238761974945
2015–2017,TOWNS,70–80,156,6,38.46153846153846,0.11495946941783346,11.495946941783346
2015–2017,TOWNS,>=90,79,6,75.9493670886076,0.05821665438467207,5.821665438467207
2018–2020,MELB_URBAN,<=60,16014,132,8.242787560884226,0.7028616573033708,70.28616573033707
2018–2020,MELB_URBAN,70–80,5609,83,14.797646639329649,0.2461815308988764,24.61815308988764
2018–2020,MELB_URBAN,>=90,1161,13,11.19724375538329,0.050956811797752806,5.095681179775281
2018–2020,RURAL_VICTORIA,<=60,1230,19,15.447154471544716,0.1547364448358284,15.473644483582842
2018–2020,RURAL_VICTORIA,70–80,2127,56,26.328161730136344,0.26758082777707887,26.758082777707887
2018–2020,RURAL_VICTORIA,>=90,4592,278,60.54006968641115,0.5776827273870927,57.76827273870927
2018–2020,SMALL_CITIES,<=60,1713,24,14.010507880910684,0.8582164328657315,85.82164328657315
2018–2020,SMALL_CITIES,70–80,232,5,21.551724137931036,0.11623246492985972,11.623246492985972
2018–2020,SMALL_CITIES,>=90,51,2,39.21568627450981,0.02555110220440882,2.555110220440882
2018–2020,TOWNS,<=60,993,22,22.15508559919436,0.8372681281618887,83.72681281618887
2018–2020,TOWNS,70–80,141,3,21.27659574468085,0.11888701517706576,11.888701517706576
2018–2020,TOWNS,>=90,52,1,19.23076923076923,0.04384485666104553,4.3844856661045535
2021–2023,MELB_URBAN,<=60,17233,155,8.994371264434514,0.6859997611560049,68.5999761156005
2021–2023,MELB_URBAN,70–80,6554,93,14.189807750991761,0.26089725727479,26.089725727479003
2021–2023,MELB_URBAN,>=90,1334,13,9.745127436281859,0.053102981569205045,5.3102981569205046
2021–2023,RURAL_VICTORIA,<=60,1723,39,22.634939059779455,0.19541794261086537,19.541794261086537
2021–2023,RURAL_VICTORIA,70–80,2460,70,28.45528455284553,0.2790064647839401,27.90064647839401
2021–2023,RURAL_VICTORIA,>=90,4634,310,66.89684937419077,0.5255755926051945,52.55755926051945
