period,geo4,weather_cat,crashes,fatalities,fatal_per_1000
2012–2014,MELB_URBAN,Fine/Clear,17308,142,8.204298590247285
2012–2014,MELB_URBAN,Raining,3272,22,6.723716381418093
2012–2014,MELB_URBAN,Fog/Smoke,5313,97,18.257105213626954
2012–2014,MELB_URBAN,Snow/Hail,57,2,35.08771929824562
2012–2014,MELB_URBAN,Windy,450,13,28.88888888888889
2012–2014,MELB_URBAN,Dust,367,2,5.449591280653951
2012–2014,MELB_URBAN,Other/Unknown,636,0,0
2012–2014,RURAL_VICTORIA,Fine/Clear,6000,253,42.166666666666664
2012–2014,RURAL_VICTORIA,Raining,976,37,37.90983606557377
2012–2014,RURAL_VICTORIA,Fog/Smoke,175,7,40
2012–2014,RURAL_VICTORIA,Snow/Hail,13,0,0
2012–2014,RURAL_VICTORIA,Windy,1583,114,72.01516108654454
2012–2014,RURAL_VICTORIA,Dust,40,0,0
2012–2014,RURAL_VICTORIA,Other/Unknown,129,4,31.007751937984494
2012–2014,SMALL_CITIES,Fine/Clear,1458,12,8.23045267489712
2012–2014,SMALL_CITIES,Raining,223,3,13.452914798206278
2012–2014,SMALL_CITIES,Fog/Smoke,317,2,6.309148264984227
2012–2014,SMALL_CITIES,Snow/Hail,8,0,0
2012–2014,SMALL_CITIES,Windy,74,6,81.08108108108108
2012–2014,SMALL_CITIES,Dust,26,0,0
2012–2014,SMALL_CITIES,Other/Unknown,21,0,0
2012–2014,TOWNS,Fine/Clear,913,18,19.715224534501644
2012–2014,TOWNS,Raining,129,1,7.751937984496124
2012–2014,TOWNS,Fog/Smoke,165,5,30.303030303030305
2012–2014,TOWNS,Snow/Hail,1,1,1000
2012–2014,TOWNS,Windy,69,6,86.95652173913044
2012–2014,TOWNS,Dust,14,0,0
2012–2014,TOWNS,Other/Unknown,9,0,0
2015–2017,MELB_URBAN,Fine/Clear,18111,141,7.785323836342554
2015–2017,MELB_URBAN,Raining,2629,21,7.98782807151008
2015–2017,MELB_URBAN,Fog/Smoke,5708,100,17.51927119831815
2015–2017,MELB_URBAN,Snow/Hail,73,2,27.397260273972602
2015–2017,MELB_URBAN,Windy,474,17,35.86497890295359
2015–2017,MELB_URBAN,Dust,357,5,14.005602240896359
2015–2017,MELB_URBAN,Other/Unknown,882,0,0
2015–2017,RURAL_VICTORIA,Fine/Clear,6768,276,40.780141843971634
2015–2017,RURAL_VICTORIA,Raining,889,41,46.11923509561305
2015–2017,RURAL_VICTORIA,Fog/Smoke,256,7,27.34375
2015–2017,RURAL_VICTORIA,Snow/Hail,21,0,0
2015–2017,RURAL_VICTORIA,Windy,1820,116,63.73626373626374
2015–2017,RURAL_VICTORIA,Dust,49,1,20.408163265306122
2015–2017,RURAL_VICTORIA,Other/Unknown,153,6,39.21568627450981
2015–2017,SMALL_CITIES,Fine/Clear,1638,16,9.768009768009769
2015–2017,SMALL_CITIES,Raining,193,1,5.181347150259067
2015–2017,SMALL_CITIES,Fog/Smoke,381,9,23.62204724409449
2015–2017,SMALL_CITIES,Snow/Hail,5,2,400
2015–2017,SMALL_CITIES,Windy,65,0,0
2015–2017,SMALL_CITIES,Dust,23,1,43.47826086956522
2015–2017,SMALL_CITIES,Other/Unknown,32,0,0
2015–2017,TOWNS,Fine/Clear,996,12,12.048192771084338
2015–2017,TOWNS,Raining,116,1,8.620689655172415
2015–2017,TOWNS,Fog/Smoke,180,3,16.666666666666668
2015–2017,TOWNS,Snow/Hail,2,0,0
2015–2017,TOWNS,Windy,78,5,64.1025641025641
2015–2017,TOWNS,Dust,12,0,0
2015–2017,TOWNS,Other/Unknown,13,0,0
2018–2020,MELB_URBAN,Fine/Clear,16950,129,7.610619469026549
2018–2020,MELB_URBAN,Raining,1459,11,7.539410555174777
2018–2020,MELB_URBAN,Fog/Smoke,4611,81,17.56668835393624
2018–2020,MELB_URBAN,Snow/Hail,60,2,33.333333333333336
2018–2020,MELB_URBAN,Windy,385,8,20.77922077922078
2018–2020,MELB_URBAN,Dust,311,1,3.215434083601286
2018–2020,MELB_URBAN,Other/Unknown,957,1,1.044932079414838
2018–2020,RURAL_VICTORIA,Fine/Clear,6092,227,37.261982928430726
2018–2020,RURAL_VICTORIA,Raining,513,11,21.44249512670565
2018–2020,RURAL_VICTORIA,Fog/Smoke,286,7,24.475524475524477
2018–2020,RURAL_VICTORIA,Snow/Hail,13,0,0
2018–2020,RURAL_VICTORIA,Windy,1601,106,66.20861961274204
2018–2020,RURAL_VICTORIA,Dust,57,2,35.08771929824562
2018–2020,RURAL_VICTORIA,Other/Unknown,141,7,49.645390070921984
2018–2020,SMALL_CITIES,Fine/Clear,1527,16,10.478061558611657
2018–2020,SMALL_CITIES,Raining,108,3,27.77777777777778
2018–2020,SMALL_CITIES,Fog/Smoke,333,9,27.027027027027028
2018–2020,SMALL_CITIES,Snow/Hail,5,0,0
2018–2020,SMALL_CITIES,Windy,51,2,39.21568627450981
2018–2020,SMALL_CITIES,Dust,17,0,0
2018–2020,SMALL_CITIES,Other/Unknown,40,1,25
2018–2020,TOWNS,Fine/Clear,909,15,16.501650165016503
2018–2020,TOWNS,Raining,56,3,53.57142857142857
2018–2020,TOWNS,Fog/Smoke,155,7,45.16129032258065
2018–2020,TOWNS,Snow/Hail,1,0,0
2018–2020,TOWNS,Windy,72,1,13.88888888888889
2018–2020,TOWNS,Dust,10,1,100
2018–2020,TOWNS,Other/Unknown,23,0,0
2021–2023,MELB_URBAN,Fine/Clear,17893,148,8.271391046778069
2021–2023,MELB_URBAN,Raining,2332,11,4.716981132075472
2021–2023,MELB_URBAN,Fog/Smoke,5208,91,17.473118279569892
2021–2023,MELB_URBAN,Snow/Hail,55,1,18.181818181818183
