period,geo4,weather_cat,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,MELB_URBAN,Fine/Clear,17308,142,8.204298590247285,0.6316096777725067,63.16096777725066
2012–2014,MELB_URBAN,Raining,3272,22,6.723716381418093,0.11940298507462686,11.940298507462686
2012–2014,MELB_URBAN,Fog/Smoke,5313,97,18.257105213626954,0.19388388132686202,19.388388132686202
2012–2014,MELB_URBAN,Snow/Hail,57,2,35.08771929824562,0.0020800642265445387,0.20800642265445388
2012–2014,MELB_URBAN,Windy,450,13,28.88888888888889,0.01642155968324636,1.642155968324636
2012–2014,MELB_URBAN,Dust,367,2,5.449591280653951,0.013392694230558697,1.3392694230558697
2012–2014,MELB_URBAN,Other/Unknown,636,0,0,0.023209137685654857,2.320913768565486
2012–2014,RURAL_VICTORIA,Fine/Clear,6000,253,42.166666666666664,0.6729475100942126,67.29475100942126
2012–2014,RURAL_VICTORIA,Raining,976,37,37.90983606557377,0.1094661283086586,10.94661283086586
2012–2014,RURAL_VICTORIA,Fog/Smoke,175,7,40,0.019627635711081202,1.9627635711081202
2012–2014,RURAL_VICTORIA,Snow/Hail,13,0,0,0.0014580529385374607,0.14580529385374608
2012–2014,RURAL_VICTORIA,Windy,1583,114,72.01516108654454,0.1775459847465231,17.754598474652312
2012–2014,RURAL_VICTORIA,Dust,40,0,0,0.004486316733961417,0.44863167339614174
2012–2014,RURAL_VICTORIA,Other/Unknown,129,4,31.007751937984494,0.014468371467025572,1.4468371467025571
2012–2014,SMALL_CITIES,Fine/Clear,1458,12,8.23045267489712,0.685472496473907,68.5472496473907
2012–2014,SMALL_CITIES,Raining,223,3,13.452914798206278,0.10484250117536437,10.484250117536437
2012–2014,SMALL_CITIES,Fog/Smoke,317,2,6.309148264984227,0.14903620122237893,14.903620122237893
2012–2014,SMALL_CITIES,Snow/Hail,8,0,0,0.0037611659614480487,0.37611659614480486
2012–2014,SMALL_CITIES,Windy,74,6,81.08108108108108,0.034790785143394454,3.479078514339445
2012–2014,SMALL_CITIES,Dust,26,0,0,0.012223789374706159,1.222378937470616
2012–2014,SMALL_CITIES,Other/Unknown,21,0,0,0.009873060648801129,0.9873060648801129
2012–2014,TOWNS,Fine/Clear,913,18,19.715224534501644,0.7023076923076923,70.23076923076923
2012–2014,TOWNS,Raining,129,1,7.751937984496124,0.09923076923076923,9.923076923076923
2012–2014,TOWNS,Fog/Smoke,165,5,30.303030303030305,0.12692307692307692,12.692307692307692
2012–2014,TOWNS,Snow/Hail,1,1,1000,7.692307692307692e-4,0.07692307692307693
2012–2014,TOWNS,Windy,69,6,86.95652173913044,0.05307692307692308,5.3076923076923075
2012–2014,TOWNS,Dust,14,0,0,0.010769230769230769,1.0769230769230769
2012–2014,TOWNS,Other/Unknown,9,0,0,0.006923076923076923,0.6923076923076923
2015–2017,MELB_URBAN,Fine/Clear,18111,141,7.785323836342554,0.6414606502798045,64.14606502798044
2015–2017,MELB_URBAN,Raining,2629,21,7.98782807151008,0.09311468442303605,9.311468442303605
